Organism ID	Organism Name	Accession	Name	Parent Database	Parent Accession	Parent Name	Accession Gene
4565	Triticum aestivum	ABS72145.1	alpha gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	ABX89298.1	high molecular weight glutenin subunit	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	ABY58133.1	LMW-s glutenin subunit 0359D24-S	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	ABY58134.1	LMW-m glutenin subunit 0703A9-M	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	ACA63851.1	low molecular weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	ACA63863.1	low molecular weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	ACD62597.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	ACI04087.1	gamma-gliadin	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	ACN62213.1	omega-gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	ACQ83636.1	omega secalin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	ADP95517.1	75k gamma secalin	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	AFC98436.1	gamma-gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	AFQ13468.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	AGK83251.1	low-molecular-weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	AGK83306.1	low-molecular-weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	BAA12318.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	BAA22613.2	LMM glutenin 1	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	BAB78750.1	low-molecular-weight glutenin subunit group 4 type II	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	BAE20328.1	omega-5 gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	BAE45625.1	low-molecular-weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	BAN29066.1	gamma-gliadin	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	BAN29068.1	high molecular weight glutenin subunit	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	CAB76959.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAB76960.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAB76961.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAB76962.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAB76963.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAB76964.1	alpha-gliadin	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	CAC84119.1	glutenin high molecular weight subunit	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	CAD58622.1	low molecular weight glutenin subunit	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	CAI78903.2	putative omega-gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	CAR82265.1	D-type LMW glutenin subunit	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	CAR82266.1	D-type LMW glutenin subunit	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	CAR82267.1	D-type LMW glutenin subunit	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	P02863.2	Alpha/beta-gliadin precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04721.1	Alpha/beta-gliadin A-I precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04722.1	Alpha/beta-gliadin A-II precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04723.1	Alpha/beta-gliadin A-III precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04724.1	Alpha/beta-gliadin A-IV precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04725.1	Alpha/beta-gliadin A-V	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P04727.1	Alpha/beta-gliadin clone PW8142 precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	P10385.1	Glutenin, low molecular weight subunit precursor	IUIS	B2Y2Q7	Tri a 36	
4565	Triticum aestivum	P10388.4	Glutenin, high molecular weight subunit DX5 precursor	IUIS	P10388	Tri a 26	
4565	Triticum aestivum	P18573.1	Alpha/beta-gliadin MM1 precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	SRC262387	omega-5 gliadin	IUIS	Q402I5	Tri a 19	
4565	Triticum aestivum	SRC264156	alpha/beta gliadin precursor	IUIS	D2T2K3	Tri a 21	
4565	Triticum aestivum	SRC268307	Gamma-gliadin	IUIS	A0A060N479	Tri a 20	
4565	Triticum aestivum	SRC276224	Glutenin, high molecular weight subunit DX5	IUIS	P10388	Tri a 26	
5077	Penicillium citrinum	AAD25926.1	Pen c 1	IUIS	Q9URH1	Pen c 13	
5599	Alternaria alternata	AAB48043.1	hsp70	IUIS	P78983	Alt a 3	
5599	Alternaria alternata	AAR98813.1	glutathione-S-transferase	IUIS	Q6R4B4	Alt a 13	
5599	Alternaria alternata	P49148.1	60S acidic ribosomal protein P1	IUIS	P49148	Alt a 12	
5599	Alternaria alternata	Q6R4B4.1	Glutathione-S-transferase	IUIS	Q6R4B4	Alt a 13	
5599	Alternaria alternata	SRC269001	Major allergen Alt a 1	IUIS	P79085	Alt a 1	
6689	Penaeus vannamei	ACB38288.1	Lit v 1 tropomyosin	IUIS	B4YAH6	Lit v 1	
6954	Dermatophagoides farinae	AAP35081.1	Der f Alt a 10 allergen	IUIS	Q23939	Der f 10	
6954	Dermatophagoides farinae	BAA04557.1	Mag44, partial	IUIS	Q23939	Der f 10	
6954	Dermatophagoides farinae	P39673.1	Allergen Mag	IUIS	Q23939	Der f 10	
6954	Dermatophagoides farinae	SRC338478	Mag44	IUIS	Q23939	Der f 10	
6954	Dermatophagoides farinae	SRC343989	Der f 3 allergen	IUIS	P49275	Der f 3	
6954	Dermatophagoides farinae	SRC343990	Der f Alt a 10 allergen	IUIS	Q23939	Der f 10	
6954	Dermatophagoides farinae	SRC343991	Der f 16 allergen	IUIS	Q8MVU3	Der f 16	
6954	Dermatophagoides farinae	SRC343992	ferritin	IUIS	L7UZ91	Der f 30	
6956	Dermatophagoides pteronyssinus	3H4Z_A	Chain A, Crystal Structure Of An Mbp-Der P 7 Fusion Protein	IUIS	P49273	Der p 7	
6956	Dermatophagoides pteronyssinus	SRC261403	Mite group 6 allergen Der p 6	IUIS	P49277	Der p 6	
6956	Dermatophagoides pteronyssinus	SRC269004	Der P 1	IUIS	P08176	Der p 1	
6956	Dermatophagoides pteronyssinus	SRC269005	Mite group 2 allergen Der p 2	IUIS	P49278	Der p 2	
6956	Dermatophagoides pteronyssinus	SRC343993	Der p 13 allergen	IUIS	E0A8N8	Der p 13	
6956	Dermatophagoides pteronyssinus	SRC343997	Der p 5	IUIS	P14004	Der p 5	
6956	Dermatophagoides pteronyssinus	SRC522220	Der p23 allergen	IUIS	L7N6F8	Der p 23	
6973	Blattella germanica	SRC323160	Bla g 11	IUIS	Q2L7A6	Bla g 11	
6978	Periplaneta americana	CAB38086.1	tropomyosin	IUIS	Q9UB83	Per a 7	
8049	Gadus morhua	CAM56786.1	parvalbumin beta	IUIS	Q90YL0	Gad m 1	
8049	Gadus morhua	Q90YK9.3	Parvalbumin beta	IUIS	Q90YL0	Gad m 1	
8053	Gadus morhua callarias	P02622.1	Parvalbumin beta	IUIS	Q90YL0	Gad m 1	
9031	Gallus gallus	SRC279992	Ovalbumin	IUIS	P01012	Gal d 2	
9031	Gallus gallus	SRC280240	Lysozyme C	IUIS	P00698	Gal d 4	
9685	Felis catus	1PUO_A	Chain A, Crystal Structure Of Fel D 1- The Major Cat Allergen	IUIS	P30438	Fel d 1	
9685	Felis catus	2EJN_A	Chain A, Structural Characterization Of The Tetrameric Form Of The Major Cat Allergen Fel D 1	IUIS	P30438	Fel d 1	
9685	Felis catus	SRC269010	Major allergen I polypeptide chain 1	IUIS	P30438	Fel d 1	
9685	Felis catus	SRC282810	Major allergen I polypeptide chain 2	IUIS	P30438	Fel d 1	
9685	Felis catus	CAD32275.1		IUIS	P49064	Fel d 2	
9913	Bos taurus	CAC37028.1	beta casein B	IUIS	P02666	Bos d 11	
9913	Bos taurus	SRC280081	Alpha-S1-casein	IUIS	P02662	Bos d 9	
9913	Bos taurus	SRC293738	beta-casein	IUIS	P02666	Bos d 11	
9913	Bos taurus	SRC293739	kappa-casein	IUIS	P02668	Bos d 12	
9913	Bos taurus	SRC309991	beta-lactoglobulin	IUIS	P02754	Bos d 5	
13187	Parietaria officinalis	SRC243675	Par j	IUIS	472	Par o 1	
13415	Chamaecyparis obtusa	SRC265920	Major pollen allergen Cha o 1	IUIS	Q96385	Cha o 1	
13415	Chamaecyparis obtusa	SRC337169	major pollen allergen Cha o 2	IUIS	Q7M1E7	Cha o 2	
13451	Corylus avellana	SRC265918	Major pollen allergen Cor a 1 isoforms 5, 6, 11 and 16	IUIS	Q08407	Cor a 1	
15957	Phleum pratense	Q7M1L8	Pollen allergen Phl p V	IUIS	Q40960	Phl p 5	
28909	Cynodon dactylon	SRC268305	Major pollen allergen Cyn d 1	IUIS	O04701	Cyn d 1	
29159	Crassostrea gigas	SRC471007	tropomyosin	IUIS	902	Cra g 1	
29661	Anthoxanthum odoratum	SRC269025	Group I allergen Ant o I	IUIS	Q7M1X6	Ant o 1	
29715	Ambrosia psilostachya	SRC310169	Amb p 5	IUIS	P43174	Amb p 5	
29960	Penaeus indicus	SRC283302	tropomyosin	IUIS	489	Pen i 1	
33127	Parietaria judaica	SRC268314	Probable non-specific lipid-transfer protein	IUIS	P43217	Par j 1	
49011	Hesperocyparis arizonica	SRC247024	putative allergen Cup a 1 glycoprotein	IUIS	Q9SCG9	Cup a 1	
51240	Juglans regia	AAF18269.1	vicilin-like protein precursor	IUIS	Q9SEW4	Jug r 2	
55513	Pistacia vera	SRC337446	Pis v 5	IUIS	B7SLJ1	Pis v 5	
62330	Fagopyrum tataricum	AAK97787.1	allergenic protein	IUIS	E9NX73	Fag t 2	
62330	Fagopyrum tataricum	ABI32184.1	allergenic protein	IUIS	E9NX73	Fag t 2	
155091	Secale cereale subsp. afghanicum	AEW46799.1	gamma prolamin	IUIS	Q9S8B0	Sec c 20	
171929	Anacardium occidentale	SRC268311	Vicilin-like protein	IUIS	Q8L5L5	Ana o 1	
746128	Aspergillus fumigatus	AAC61261.1	allergen	UniProt	Q8J0P4	Asp f 16	crf1
746128	Aspergillus fumigatus	SRC280124	Ribonuclease mitogillin	IUIS	P67875	Asp f 1	
139	Borreliella burgdorferi	ABK60035.1	VlsE	UniProt	G5IXI6	Variable large protein	BB_F0041
139	Borreliella burgdorferi	SRC265945	Outer surface protein A	UniProt	P0CL66	Outer surface protein A	ospA
139	Borreliella burgdorferi	SRC265946	Outer surface protein C	UniProt	Q07337	Outer surface protein C	ospC
139	Borreliella burgdorferi	SRC269139	Outer surface protein VlsE1	UniProt	G5IXI6	Variable large protein	BB_F0041
160	Treponema pallidum	SRC280369	Tpr protein K	UniProt	O83867	Tpr protein K (TprK)	TP_0897
487	Neisseria meningitidis	SRC268999	Major outer membrane protein P.IA	UniProt	P0DH58	Major outer membrane protein P.IA	porA
584	Proteus mirabilis	SRC280389	Hemolysin activator protein (Two-partner secretion system accessory protein)	UniProt	B4F0Z8		hpmB
727	Haemophilus influenzae	SRC265947	Outer membrane protein P6	UniProt	P10324	Peptidoglycan-associated lipoprotein	pal
727	Haemophilus influenzae	SRC265948	Lipopolysaccharide cholinephosphotransferase LicD	UniProt	P14184	Lipopolysaccharide cholinephosphotransferase LicD	licD
727	Haemophilus influenzae	SRC279938	Outer membrane protein P2	UniProt	P43839	Outer membrane protein P2	ompP2
770	Anaplasma marginale	SRC280374	Major surface protein 2 (MSP2)	UniProt	B9KGZ2	Major surface protein 2 (MSP2)	msp2
813	Chlamydia trachomatis	E30593	outer membrane protein - Chlamydia trachomatis (serotype K) (fragments)	UniProt	Q46409	Major outer membrane porin, serovar D	ompA
813	Chlamydia trachomatis	SRC265954	RNA polymerase sigma factor SigA	UniProt	P18333	RNA polymerase sigma factor SigA	sigA
813	Chlamydia trachomatis	SRC279968	Major outer membrane porin, serovar D	UniProt	Q46409	Major outer membrane porin, serovar D	ompA
813	Chlamydia trachomatis	SRC280056	60 kDa chaperonin	UniProt	P0C0Z7	60 kDa chaperonin	groEL
813	Chlamydia trachomatis	SRC280224	Sulfur-rich protein, serovar D	UniProt	O84449	Sulfur-rich protein, serovar D	srp
1314	Streptococcus pyogenes	AAA21783.1	M-like protein	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	AAA21786.1	M-like protein	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	AAA21787.1	M-like protein	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	AAA99601.1	emml gene product	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	AAR89483.1	M protein	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	CAE51959.2	M protein	UniProt	Q99XV0	M protein type 1	emm1
1314	Streptococcus pyogenes	SRC280368	M protein, serotype 5	UniProt	Q99XV0	M protein type 1	emm1
1392	Bacillus anthracis	SRC280246	Stage V sporulation protein R	UniProt	A0A6L7HN52	Stage V sporulation protein R	spoVR
1491	Clostridium botulinum	SRC269138	Botulinum neurotoxin type E, nontoxic-nonhemagglutinin component, NTNH	UniProt	A5HZZ8	Type A progenitor toxin nontoxic-nonha	ntnH
1765	Mycobacterium tuberculosis variant bovis	SRC280003	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	UniProt	P9WQP3	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	fbpA
1765	Mycobacterium tuberculosis variant bovis	SRC280048	60 kDa chaperonin 2	UniProt	P9WPE7	60 kDa chaperonin 2	groEL2
1765	Mycobacterium tuberculosis variant bovis	SRC280133	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	UniProt	P9WQP1	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	fbpB
1765	Mycobacterium tuberculosis variant bovis	SRC280272	Lipoprotein LpqH	UniProt	P9WK61	Lipoprotein LpqH	lpqH
1773	Mycobacterium tuberculosis	SRC265955	Lipoprotein LpqH	UniProt	P9WK61	Lipoprotein LpqH	lpqH
1773	Mycobacterium tuberculosis	SRC280000	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	UniProt	P9WQP1	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	fbpB
1773	Mycobacterium tuberculosis	SRC280030	Uncharacterized PPE family protein PPE19	UniProt	P9WI25	Uncharacterized PPE family protein PPE19	PPE19
1773	Mycobacterium tuberculosis	SRC280101	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	UniProt	P9WQP3	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	fbpA
1773	Mycobacterium tuberculosis	SRC280115	60 kDa chaperonin 2	UniProt	P9WPE7	60 kDa chaperonin 2	groEL2
1773	Mycobacterium tuberculosis	SRC280164	10 kDa chaperonin	UniProt	P9WPE5	10 kDa chaperonin	groES
1773	Mycobacterium tuberculosis	SRC280192	Hypothetical protein	UniProt	I6YGJ4	Possible conserved lipoprotein LppH	lppH
1773	Mycobacterium tuberculosis	SRC280197	Phosphate transport system permease protein PstA 1	UniProt	P9WG11	Phosphate transport system permease protein PstA 1	pstA1
1773	Mycobacterium tuberculosis	SRC280238	Elongation factor Tu	UniProt	P9WNN1	Elongation factor Tu	tuf
1773	Mycobacterium tuberculosis	SRC280247	MPT51/MPB51 antigen	UniProt	P9WQN7	MPT51/MPB51 antigen	mpt51
1773	Mycobacterium tuberculosis	SRC280287	Long-chain-fatty-acid--AMP ligase FadD32	UniProt	O53580	Long-chain-fatty-acid--AMP ligase FadD32	fadD32
1773	Mycobacterium tuberculosis	SRC280375	Possible transmembrane cation transporter	UniProt	O53346	Possible transmembrane cation transporter	Rv3200c
1773	Mycobacterium tuberculosis	SRC280382	Probable ATP-dependent helicase Lhr (Large helicase-related protein)	UniProt	P96901	Probable ATP-dependent helicase Lhr (Large helicase-related protein)	lhr
1773	Mycobacterium tuberculosis	SRC280383	Probable lipoprotein aminopeptidase LpqL	UniProt	P96264	Probable lipoprotein aminopeptidase LpqL	lpqL
5664	Leishmania major	SRC265956	Leishmanolysin	UniProt	Q4QHH2	Leishmanolysin	GP63-1
5664	Leishmania major	SRC269018	GP63, leishmanolysin	UniProt	Q4QHH2	Leishmanolysin	GP63-1
5665	Leishmania mexicana	SRC269145	GP63, leishmanolysin	UniProt	E9AN57	Leishmanolysin	LMXM_10_0470
5811	Toxoplasma gondii	SRC265957	Dense granule protein 1	UniProt	B9Q5Z2	Dense granule protein 1 / major antigenp24	BN1205_017550
5811	Toxoplasma gondii	SRC269146	Surface antigen P22, putative	UniProt	A0A0F7V1Z5	SAG-related sequence SRS34A	BN1205_018330
5833	Plasmodium falciparum	AAN28299.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	AAS37677.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	AAS48088.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	AAT01063.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	AAT01064.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	AAY53888.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2	MSP2
5833	Plasmodium falciparum	ABF55313.1	merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1	PF3D7_0930300
5833	Plasmodium falciparum	ABF55315.1	merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1	PF3D7_0930300
5833	Plasmodium falciparum	SRC265916	S-antigen protein	UniProt	Q03400	S-antigen protein	PF10_0343
5833	Plasmodium falciparum	SRC265919	101 kDa malaria antigen	UniProt	Q8I5D2	101 kDa malaria antigen	MSP9
5833	Plasmodium falciparum	SRC265921	Serine-repeat antigen protein	UniProt	Q9TY95	Serine-repeat antigen protein	SERA5
5833	Plasmodium falciparum	SRC279972	Merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1	PF3D7_0930300
5833	Plasmodium falciparum	SRC280011	Circumsporozoite	UniProt	Q7K740	Circumsporozoite (CS) protein	CSP
5833	Plasmodium falciparum	SRC280055	Knob associated histidine-rich protein	UniProt	Q9TY99	Knob-associated histidine-rich protein	PF3D7_0202000
5833	Plasmodium falciparum	SRC280072	Rhoptry-associated protein 1	UniProt	Q8ILZ1	Rhoptry-associated protein 1	PF3D7_1410400
5833	Plasmodium falciparum	SRC280086	Circumsporozoite-related antigen	UniProt	Q8IIF0	Exported protein 1	PF3D7_1121600
5833	Plasmodium falciparum	SRC280094	Sporozoite surface protein 2	UniProt	Q76NM2	Thrombospondin-related anonymous protein	PF3D7_1335900
5833	Plasmodium falciparum	SRC280108	Erythrocyte binding antigen	UniProt	Q8IBE8	Erythrocyte binding antigen-175	PF3D7_0731500
5833	Plasmodium falciparum	SRC280126	Glycophorin-binding protein	UniProt	Q8I6U8	Glycophorin-binding protein	GBP130
5833	Plasmodium falciparum	SRC280142	Erythrocyte membrane protein 1	UniProt	Q8I639	Erythrocyte membrane protein 1, PfEMP1	PF3D7_1200600
5833	Plasmodium falciparum	SRC280150	Apical membrane antigen 1	UniProt	Q7KQK5	Apical membrane antigen 1	PF3D7_1133400
5833	Plasmodium falciparum	SRC280156	Uncharacterized protein MAL13P1.304	UniProt	Q8ID94	Uncharacterized protein MAL13P1.304	MAL13P1.304
5833	Plasmodium falciparum	SRC280177	Starp antigen	UniProt	Q8IC44	Sporozoite threonine and asparagine-rich protein	PF3D7_0702300
5833	Plasmodium falciparum	SRC280199	Interspersed repeat antigen, putative	UniProt	Q8I486	Interspersed repeat antigen	PF3D7_0501400
5833	Plasmodium falciparum	SRC280378	Histidine rich protein II	UniProt	A0A143ZVM5	Histidine-rich protein II	PF3D7_0831800
5877	Theileria sergenti	SRC269021	Ts-32K protein precursor	UniProt	Q27401	Major piroplasm surface protein	
6207	Taenia crassiceps	SRC269007	Protective recombinant antigen	UniProt	Q26874	Protective recombinant antigen (Fragment)	KETC7
7787	Tetronarce californica	SRC269009	Acetylcholine receptor subunit alpha	UniProt	P02710		CHRNA1
9031	Gallus gallus	SRC265961	Collagen alpha-1(II) chain	UniProt	P02460		COL2A1
9031	Gallus gallus	SRC279941	Collagen alpha-3(IX) chain	UniProt	P32017		COL9A3
9606	Homo sapiens	SRC20	Thyroglobulin precursor	UniProt	P01266	Thyroglobulin	TG
9606	Homo sapiens	SRC244406	islet-specific glucose-6-phosphatase-related protein	UniProt	Q9NQR9	Glucose-6-phosphatase 2	G6PC2
9606	Homo sapiens	SRC244760	advanced glycosylation end product-specific receptor	UniProt	Q15109	Advanced glycosylation end product-specific receptor	AGER
9606	Homo sapiens	SRC245209	Follistatin-related protein 1	UniProt	Q12841	Follistatin-related protein 1	FSTL1
9606	Homo sapiens	SRC245374	vimentin	UniProt	P08670	Vimentin	VIM
9606	Homo sapiens	SRC247180	Small nuclear ribonucleoprotein Sm D1	UniProt	P62314	Small nuclear ribonucleoprotein Sm D1	SNRPD1
9606	Homo sapiens	SRC247445	Ro ribonucleoprotein	UniProt	P10155	60 kDa SS-A/Ro ribonucleoprotein	RO60
9606	Homo sapiens	SRC247646	epoxide hydrolase 1, microsomal	UniProt	P07099	Epoxide hydrolase 1	EPHX1
9606	Homo sapiens	SRC247653	arachidonate 5-lipoxygenase-activating protein	UniProt	P20292	Arachidonate 5-lipoxygenase-activating protein	ALOX5AP
9606	Homo sapiens	SRC247897	Acetylcholinesterase	UniProt	P22303	Acetylcholinesterase	ACHE
9606	Homo sapiens	SRC247912	HMG-17	UniProt	P05204	Non-histone chromosomal protein HMG-17	HMGN2
9606	Homo sapiens	SRC248250	thyroid stimulating hormone receptor	UniProt	P16473	Thyrotropin receptor	TSHR
9606	Homo sapiens	SRC248295	small nuclear ribonucleoprotein polypeptides B and B1	UniProt	P14678	Small nuclear ribonucleoprotein-associated proteins B and B'	SNRPB
9606	Homo sapiens	SRC248398	thyroid peroxidase	UniProt	P07202	Thyroid peroxidase	TPO
9606	Homo sapiens	SRC248682	Interleukin-6	UniProt	P05231	Interleukin-6	IL6
9606	Homo sapiens	SRC248983	sperm autoantigen	UniProt	Q15506	Sperm surface protein Sp17	SPA17
9606	Homo sapiens	SRC250683	schlafen family member 5	UniProt	Q08AF3	Schlafen family member 5	SLFN5
