Species Key	Species ID	Species Label	Active Taxa	Group	Proteome ID	Proteome Taxon	Proteome Type	Species Name	Proteome Label	Updated
446-Legionella-pneumophila	446	Legionella pneumophila	446, 66976	bacterium	UP000000609	272624	Representative	Legionella pneumophila	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	2024-07-15
450-Legionella-longbeachae	450	Legionella longbeachae	661367	bacterium	UP000001060	661367	Representative	Legionella longbeachae	Legionella longbeachae serogroup 1 (strain NSW150)	2024-07-15
470-Acinetobacter-baumannii	470	Acinetobacter baumannii	470, 400667, 509173	bacterium	UP000005740	575584	Representative	Acinetobacter baumannii	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81)	2024-07-15
471-Acinetobacter-calcoaceticus	471	Acinetobacter calcoaceticus	471	bacterium	UP000013024	981331	Other	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus DSM 30006 = CIP 81.8	2024-07-15
480-Moraxella-catarrhalis	480	Moraxella catarrhalis	480, 857571	bacterium	UP000078228	480	Other	Moraxella catarrhalis	Moraxella catarrhalis	2024-07-15
485-Neisseria-gonorrhoeae	485	Neisseria gonorrhoeae	485, 242231, 528354, 10001077, 10001078	bacterium	UP000000535	242231	Representative	Neisseria gonorrhoeae	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090)	2024-07-15
487-Neisseria-meningitidis	487	Neisseria meningitidis	487, 491, 65699, 122586, 272831, 604162, 909420, 1172206, 10000843, 10000972, 10000979, 10001003, 10001044, 10001049, 10001050, 10001051, 10001161, 10001162	bacterium	UP000000425	122586	Representative	Neisseria meningitidis	Neisseria meningitidis serogroup B (strain MC58)	2024-07-15
502-Kingella-denitrificans	502	Kingella denitrificans	502	bacterium	UP000004088	888741	Representative	Kingella denitrificans	Kingella denitrificans ATCC 33394	2024-07-15
511-Alcaligenes-faecalis	511	Alcaligenes faecalis	511	bacterium	UP000245216	511	Other	Alcaligenes faecalis	Alcaligenes faecalis	2024-07-15
520-Bordetella-pertussis	520	Bordetella pertussis	520, 257313, 10002069	bacterium	UP000002676	257313	Representative	Bordetella pertussis	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	2024-07-15
521-Bordetella-avium	521	Bordetella avium	521	bacterium	UP000001977	360910	Representative	Bordetella avium	Bordetella avium (strain 197N)	2024-07-15
524-Acidiphilium-cryptum-Acidiphilum-cryptum	524	Acidiphilium cryptum (Acidiphilum cryptum)	524, 349163	bacterium	UP000000245	349163	Representative	Acidiphilium cryptum (Acidiphilum cryptum)	Acidiphilium cryptum (strain JF-5)	2024-07-15
539-Eikenella-corrodens	539	Eikenella corrodens	539	bacterium	UP000018554	1073362	Representative	Eikenella corrodens	Eikenella corrodens CC92I	2024-07-15
548-Klebsiella-aerogenes	548	Klebsiella aerogenes	548	bacterium	UP000035382	548	Other	Klebsiella aerogenes	Klebsiella aerogenes	2024-07-15
550-Enterobacter-cloacae	550	Enterobacter cloacae	550, 336306	bacterium	UP000002363	716541	Other	Enterobacter cloacae	Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCTC 10005 / WDCM 00083 / NCDC 279-56)	2024-07-15
554-Pectobacterium-carotovorum	554	Pectobacterium carotovorum	554, 561230	bacterium	UP000002736	561230	Other	Pectobacterium carotovorum	Pectobacterium carotovorum subsp. carotovorum (strain PC1)	2024-07-15
556-Dickeya-chrysanthemi	556	Dickeya chrysanthemi	556	bacterium	UP000002735	561229	Other	Dickeya chrysanthemi	Dickeya chrysanthemi (strain Ech1591)	2024-07-15
562-Escherichia-coli	562	Escherichia coli	562, 37762, 83333, 83334, 155864, 168807, 199310, 217992, 244320, 316385, 316401, 316407, 331111, 331112, 340184, 340185, 340186, 340197, 344601, 344610, 358709, 362663, 364106, 386585, 405955, 439184, 478005, 478006, 478008, 481805, 511145, 511693, 525281, 585034, 595496, 679206, 1045010, 1432555, 2072463, 10000728, 10001145, 10002022	bacterium	UP000000558	83334	Representative	Escherichia coli	Escherichia coli O157:H7	2024-07-15
573-Klebsiella-pneumoniae	573	Klebsiella pneumoniae	573, 272620, 484021	bacterium	UP000007841	1125630	Representative	Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae (strain HS11286)	2024-07-15
584-Proteus-mirabilis	584	Proteus mirabilis	584, 529507, 10001006	bacterium	UP000005363	1125694	Other	Proteus mirabilis	Proteus mirabilis (strain HI4320)	2024-07-15
615-Serratia-marcescens	615	Serratia marcescens	615	bacterium	UP000320710	615	Other	Serratia marcescens	Serratia marcescens	2024-07-15
621-Shigella-boydii	621	Shigella boydii	621, 300268, 344609	bacterium	UP000001030	344609	Representative	Shigella boydii	Shigella boydii serotype 18 (strain CDC 3083-94 / BS512)	2024-07-15
622-Shigella-dysenteriae-Escherichia_Shigella-dysenteriae	622	Shigella dysenteriae (Escherichia/Shigella dysenteriae)	622, 300267	bacterium	UP000002716	300267	Representative	Shigella dysenteriae (Escherichia/Shigella dysenteriae)	Shigella dysenteriae serotype 1 (strain Sd197)	2024-07-15
623-Shigella-flexneri-Escherichia-flexneri	623	Shigella flexneri (Escherichia flexneri)	623, 42897, 198214, 198215, 373384, 424717, 591020, 766147, 766154	bacterium	UP000001006	623	Representative	Shigella flexneri (Escherichia flexneri)	Shigella flexneri	2024-07-15
624-Shigella-sonnei	624	Shigella sonnei	624, 300269	bacterium	UP000002529	300269	Representative	Shigella sonnei	Shigella sonnei (strain Ss046)	2024-07-15
630-Yersinia-enterocolitica	630	Yersinia enterocolitica	630, 34054, 393305, 913028	bacterium	UP000008084	930944	Other	Yersinia enterocolitica	Yersinia enterocolitica subsp. palearctica serotype O:3 (strain DSM 13030 / CIP 106945 / Y11)	2024-07-15
632-Yersinia-pestis	632	Yersinia pestis	632, 187410, 214092, 349746, 360102, 373665, 375450, 377628, 386656, 412420, 10000756, 10000757	bacterium	UP000000815	632	Representative	Yersinia pestis	Yersinia pestis	2024-07-15
633-Yersinia-pseudotuberculosis	633	Yersinia pseudotuberculosis	633, 273123, 349747, 10001895	bacterium	UP000002412	349747	Other	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	2024-07-15
634-Yersinia-bercovieri	634	Yersinia bercovieri	349968	bacterium	UP000229378	634	Other	Yersinia bercovieri	Yersinia bercovieri	2024-07-15
636-Edwardsiella-tarda	636	Edwardsiella tarda	636	bacterium	UP000002230	718251	Other	Edwardsiella tarda	Edwardsiella tarda (strain FL6-60)	2024-07-15
644-Aeromonas-hydrophila	644	Aeromonas hydrophila	644	bacterium	UP000000756	380703	Representative	Aeromonas hydrophila	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	2024-07-15
645-Aeromonas-salmonicida	645	Aeromonas salmonicida	645, 29491	bacterium	UP000000225	382245	Other	Aeromonas salmonicida	Aeromonas salmonicida (strain A449)	2024-07-15
659-Photobacterium-phosphoreum	659	Photobacterium phosphoreum	659	bacterium	UP000241618	659	Other	Photobacterium phosphoreum	Photobacterium phosphoreum	2024-07-15
661-Photobacterium-angustum	661	Photobacterium angustum	314292	bacterium	UP000001603	314292	Other	Photobacterium angustum	Photobacterium angustum (strain S14 / CCUG 15956)	2024-07-15
663-Vibrio-alginolyticus	663	Vibrio alginolyticus	314288	bacterium	UP000016714	1219076	Other	Vibrio alginolyticus	Vibrio alginolyticus (strain ATCC 17749 / DSM 2171 / NBRC 15630 / NCIMB 1903 / NCTC 12160 / XII-53)	2024-07-15
666-Vibrio-cholerae	666	Vibrio cholerae	666, 686, 44104, 45888, 127906, 243277, 345072, 345073, 345074, 345075, 345076, 404974, 412614, 412883, 412966, 412967, 417398, 417399, 417400, 592313	bacterium	UP000000584	243277	Representative	Vibrio cholerae	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	2024-07-15
670-Vibrio-parahaemolyticus	670	Vibrio parahaemolyticus	670, 223926, 419109, 563773, 627611	bacterium	UP000002493	223926	Representative	Vibrio parahaemolyticus	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	2024-07-15
671-Vibrio-proteolyticus	671	Vibrio proteolyticus	671	bacterium	UP000016570	1219065	Representative	Vibrio proteolyticus	Vibrio proteolyticus NBRC 13287	2024-07-15
672-Vibrio-vulnificus	672	Vibrio vulnificus	672, 196600, 216895	bacterium	UP000002275	216895	Other	Vibrio vulnificus	Vibrio vulnificus (strain CMCP6)	2024-07-15
674-Vibrio-mimicus	674	Vibrio mimicus	674	bacterium	UP000053748	674	Other	Vibrio mimicus	Vibrio mimicus	2024-07-15
703-Plesiomonas-shigelloides	703	Plesiomonas shigelloides	703	bacterium	UP000014012	1315976	Representative	Plesiomonas shigelloides	Plesiomonas shigelloides 302-73	2024-07-15
714-Aggregatibacter-actinomycetemcomitans	714	Aggregatibacter actinomycetemcomitans	714	bacterium	UP000005508	907488	Other	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans serotype e str. SC1083	2024-07-15
715-Actinobacillus-pleuropneumoniae	715	Actinobacillus pleuropneumoniae	715, 209841, 228399	bacterium	UP000001432	416269	Representative	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	2024-07-15
727-Haemophilus-influenzae	727	Haemophilus influenzae	727, 71421, 262727, 262728, 281310, 374927, 374928, 374931, 374932, 374933, 375177, 375432, 521004, 521005, 10000807, 10000833, 10000860, 10000861, 10001042, 10001053, 10001055, 10001056, 10001149, 10001150, 10001155	bacterium	UP000000579	71421	Representative	Haemophilus influenzae	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	2024-07-15
730-[Haemophilus]-ducreyi	730	[Haemophilus] ducreyi	730	bacterium	UP000001022	233412	Representative	[Haemophilus] ducreyi	Haemophilus ducreyi (strain 35000HP / ATCC 700724)	2024-07-15
731-Histophilus-somni	731	Histophilus somni	731, 205914	bacterium	UP000595373	731	Representative	Histophilus somni	Histophilus somni	2024-07-15
738-Glaesserella-parasuis	738	Glaesserella parasuis	738, 557723, 1117322	bacterium	UP000006743	557723	Representative	Glaesserella parasuis	Glaesserella parasuis serovar 5 (strain SH0165)	2024-07-15
747-Pasteurella-multocida	747	Pasteurella multocida	747, 272843, 10000759	bacterium	UP000000809	272843	Representative	Pasteurella multocida	Pasteurella multocida (strain Pm70)	2024-07-15
769-Anaplasma-centrale	769	Anaplasma centrale	769, 574556	bacterium	UP000000630	574556	Other	Anaplasma centrale	Anaplasma centrale (strain Israel)	2024-07-15
770-Anaplasma-marginale	770	Anaplasma marginale	770, 234826, 320483, 10000760	bacterium	UP000007307	320483	Representative	Anaplasma marginale	Anaplasma marginale (strain Florida)	2024-07-15
774-Bartonella-bacilliformis	774	Bartonella bacilliformis	774, 360095	bacterium	UP000000643	360095	Representative	Bartonella bacilliformis	Bartonella bacilliformis (strain ATCC 35685 / KC583 / Herrer 020/F12,63)	2024-07-15
777-Coxiella-burnetii	777	Coxiella burnetii	777, 227377, 360115, 360116, 360117, 434922, 434923, 434924	bacterium	UP000002671	227377	Representative	Coxiella burnetii	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	2024-07-15
779-Ehrlichia-ruminantium-heartwater-rickettsia	779	Ehrlichia ruminantium (heartwater rickettsia)	779, 254945	bacterium	UP000001021	254945	Other	Ehrlichia ruminantium (heartwater rickettsia)	Ehrlichia ruminantium (strain Welgevonden)	2024-07-15
781-Rickettsia-conorii	781	Rickettsia conorii	781, 272944	bacterium	UP000000816	272944	Other	Rickettsia conorii	Rickettsia conorii (strain ATCC VR-613 / Malish 7)	2024-07-15
782-Rickettsia-prowazekii	782	Rickettsia prowazekii	782, 272947	bacterium	UP000002480	272947	Representative	Rickettsia prowazekii	Rickettsia prowazekii (strain Madrid E)	2024-07-15
783-Rickettsia-rickettsii	783	Rickettsia rickettsii	783, 392021, 452659, 1105104	bacterium	UP000006832	392021	Other	Rickettsia rickettsii	Rickettsia rickettsii (strain Sheila Smith)	2024-07-15
784-Orientia-tsutsugamushi	784	Orientia tsutsugamushi	784, 334380, 357244, 10000761	bacterium	UP000001565	357244	Representative	Orientia tsutsugamushi	Orientia tsutsugamushi (strain Boryong)	2024-07-15
785-Rickettsia-typhi	785	Rickettsia typhi	785, 257363	bacterium	UP000000604	257363	Other	Rickettsia typhi	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	2024-07-15
786-Rickettsia-akari-rickettsialpox	786	Rickettsia akari (rickettsialpox)	293614	bacterium	UP000006830	293614	Other	Rickettsia akari (rickettsialpox)	Rickettsia akari (strain Hartford)	2024-07-15
787-Rickettsia-australis	787	Rickettsia australis	787	bacterium	UP000007589	1105110	Other	Rickettsia australis	Rickettsia australis (strain Cutlack)	2024-07-15
788-Rickettsia-canadensis	788	Rickettsia canadensis	788	bacterium	UP000007056	293613	Other	Rickettsia canadensis	Rickettsia canadensis (strain McKiel)	2024-07-15
813-Chlamydia-trachomatis	813	Chlamydia trachomatis	813, 272561, 315277, 580047, 634464, 672161, 759363, 10000763, 10000764, 10000765, 10000766, 10000767, 10000768, 10000769, 10000804, 10000845, 10000853, 10000858, 10001008, 10001085, 10001121, 10001141	bacterium	UP000000431	272561	Representative	Chlamydia trachomatis	Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx)	2024-07-15
817-Bacteroides-fragilis	817	Bacteroides fragilis	817	bacterium	UP000006731	272559	Representative	Bacteroides fragilis	Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCUG 4856 / JCM 11019 / NCTC 9343 / Onslow)	2024-07-15
818-Bacteroides-thetaiotaomicron	818	Bacteroides thetaiotaomicron	818, 226186	bacterium	UP000001414	226186	Representative	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	2024-07-15
820-Bacteroides-uniformis	820	Bacteroides uniformis	820	bacterium	UP000014212	1235787	Representative	Bacteroides uniformis	Bacteroides uniformis dnLKV2	2024-07-15
821-Phocaeicola-vulgatus	821	Phocaeicola vulgatus	821	bacterium	UP000002861	435590	Representative	Phocaeicola vulgatus	Phocaeicola vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / CCUG 4940 / NBRC 14291 / NCTC 11154)	2024-07-15
823-Parabacteroides-distasonis	823	Parabacteroides distasonis	823	bacterium	UP000000566	435591	Representative	Parabacteroides distasonis	Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152)	2024-07-15
837-Porphyromonas-gingivalis	837	Porphyromonas gingivalis	837, 242619, 431947, 1125722, 1403335, 10001081, 10001223	bacterium	UP000000588	242619	Representative	Porphyromonas gingivalis	Porphyromonas gingivalis (strain ATCC BAA-308 / W83)	2024-07-15
851-Fusobacterium-nucleatum-Fusibacterium-nucleatum	851	Fusobacterium nucleatum (Fusibacterium nucleatum)	851	bacterium	UP000002521	190304	Representative	Fusobacterium nucleatum (Fusibacterium nucleatum)	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355)	2024-07-15
853-Faecalibacterium-prausnitzii	853	Faecalibacterium prausnitzii	853	bacterium	UP000008804	718252	Representative	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii L2-6	2024-07-15
859-Fusobacterium-necrophorum-Fusibacterium-necrophorum	859	Fusobacterium necrophorum (Fusibacterium necrophorum)	859	bacterium						2024-07-15
891-Desulfuromonas-acetoxidans	891	Desulfuromonas acetoxidans	281689	bacterium	UP000005695	281689	Representative	Desulfuromonas acetoxidans	Desulfuromonas acetoxidans (strain DSM 684 / 11070)	2024-07-15
907-Megasphaera-elsdenii	907	Megasphaera elsdenii	907	bacterium	UP000010111	1064535	Representative	Megasphaera elsdenii	Megasphaera elsdenii DSM 20460	2024-07-15
920-Acidithiobacillus-ferrooxidans	920	Acidithiobacillus ferrooxidans	920	bacterium	UP000001362	243159	Representative	Acidithiobacillus ferrooxidans	Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455)	2024-07-15
944-Ehrlichia-canis	944	Ehrlichia canis	944, 269484	bacterium	UP000235280	944	Other	Ehrlichia canis	Ehrlichia canis	2024-07-15
945-Ehrlichia-chaffeensis	945	Ehrlichia chaffeensis	945, 205920	bacterium	UP000008320	205920	Representative	Ehrlichia chaffeensis	Ehrlichia chaffeensis (strain ATCC CRL-10679 / Arkansas)	2024-07-15
947-Ehrlichia-ewingii	947	Ehrlichia ewingii	947	bacterium		947	Orphans	Ehrlichia ewingii	Ehrlichia ewingii	2024-07-15
948-Anaplasma-phagocytophilum-agent-of-human-granulocytic-ehrlichiosis	948	Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)	948, 212042	bacterium	UP000055047	948	Representative	Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)	Anaplasma phagocytophilum	2024-07-15
955-Wolbachia-pipientis	955	Wolbachia pipientis	955	bacterium	UP000175679	955	Representative	Wolbachia pipientis	Wolbachia pipientis	2024-07-15
985-Cytophaga-hutchinsonii	985	Cytophaga hutchinsonii	269798	bacterium	UP000001822	269798	Representative	Cytophaga hutchinsonii	Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465)	2024-07-15
1006-Marivirga-tractuosa	1006	Marivirga tractuosa	1006	bacterium	UP000008720	643867	Representative	Marivirga tractuosa	Marivirga tractuosa (strain ATCC 23168 / DSM 4126 / NBRC 15989 / NCIMB 1408 / VKM B-1430 / H-43)	2024-07-15
1018-Capnocytophaga-ochracea	1018	Capnocytophaga ochracea	1018	bacterium	UP000006650	521097	Representative	Capnocytophaga ochracea	Capnocytophaga ochracea (strain ATCC 27872 / DSM 7271 / JCM 12966 / NCTC 12371 / VPI 2845)	2024-07-15
1019-Capnocytophaga-sputigena	1019	Capnocytophaga sputigena	1019	bacterium	UP000217334	1019	Other	Capnocytophaga sputigena	Capnocytophaga sputigena	2024-07-15
1022-Beggiatoa-alba	1022	Beggiatoa alba	1022	bacterium	UP000005744	395493	Representative	Beggiatoa alba	Beggiatoa alba B18LD	2024-07-15
1027-Microscilla-marina	1027	Microscilla marina	313606	bacterium	UP000004095	313606	Representative	Microscilla marina	Microscilla marina ATCC 23134	2024-07-15
1063-Cereibacter-sphaeroides	1063	Cereibacter sphaeroides	1063, 272943, 349101	bacterium	UP000002703	272943	Representative	Cereibacter sphaeroides	Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.)	2024-07-15
