Species Key	Species ID	Species Label	Active Taxa	Group	Proteome Type	Proteome ID	Proteome Organism ID	Proteome Label	Proteome Link	Updated
196-Campylobacter-fetus	196	Campylobacter fetus	196, 32019	bacterium	Non-Redundant	UP000000760	360106	Campylobacter fetus subsp. fetus (strain 82-40) (Strain: 82-40)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000760	2023-07-14
197-Campylobacter-jejuni	197	Campylobacter jejuni	197, 32022, 192222, 195099, 354242, 360112, 398000, 407148, 482628, 567106, 1338035, 1347340, 10000679, 10002003	bacterium	Reference	UP000000799	192222	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) (Strain: ATCC 700819 / NCTC 11168)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000799	2023-07-14
199-Campylobacter-concisus	199	Campylobacter concisus	199	bacterium	Non-Redundant	UP000196185	199	Campylobacter concisus (Strain: Lasto393.96)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000196185	2023-07-14
200-Campylobacter-curvus	200	Campylobacter curvus	200	bacterium	Reference	UP000006380	360105	Campylobacter curvus (strain 525.92) (Strain: 525.92)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006380	2023-07-14
201-Campylobacter-lari	201	Campylobacter lari	306263	bacterium	Non-Redundant	UP000031130	1388749	Campylobacter lari NCTC 11845 (Strain: RM3659)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000031130	2023-07-14
203-Campylobacter-rectus	203	Campylobacter rectus	203, 553218	bacterium	Non-Redundant	UP000003082	553218	Campylobacter rectus RM3267 (Strain: RM3267)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000003082	2023-07-14
210-Helicobacter-pylori	210	Helicobacter pylori	210, 85962, 85963, 102617, 102618, 290847, 563041, 570508, 637383, 684950, 866344, 981216, 992121, 1337393, 1352357, 10000718, 10000720, 10000721, 10001667, 10001794	bacterium	Reference	UP000000429	85962	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori) (Strain: ATCC 700392 / 26695)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000429	2023-07-14
214-Helicobacter-felis	214	Helicobacter felis	214	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:214	2023-09-01
235-Brucella-abortus-Brucella-melitensis-bv-Abortus	235	Brucella abortus (Brucella melitensis bv. Abortus)	235, 35802, 262698, 359391, 430066, 520450, 522260, 575591, 641140, 1169205, 10001424	bacterium	Reference	UP000002719	359391	Brucella abortus (strain 2308) (Strain: 2308)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002719	2023-07-14
236-Brucella-ovis-Brucella-melitensis-bv-Ovis	236	Brucella ovis (Brucella melitensis bv. Ovis)	236, 444178, 10001886, 10001887, 10001888	bacterium	Non-Redundant	UP000006383	444178	Brucella ovis (strain ATCC 25840 / 63/290 / NCTC 10512) (Strain: ATCC 25840 / 63/290 / NCTC 10512)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006383	2023-07-14
263-Francisella-tularensis	263	Francisella tularensis	263, 264, 119856, 177416, 351581, 376619, 393011, 393115, 401614, 418136, 430556, 430557, 441952, 458234, 545422	bacterium	Reference	UP000001174	177416	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4) (Strain: SCHU S4 / Schu 4)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001174	2023-07-14
266-Paracoccus-denitrificans	266	Paracoccus denitrificans	266, 318586	bacterium	Reference	UP000000361	318586	Paracoccus denitrificans (strain Pd 1222) (Strain: Pd 1222)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000361	2023-07-14
271-Thermus-aquaticus	271	Thermus aquaticus	271	bacterium	Non-Redundant	UP000037685	271	Thermus aquaticus (Strain: ATCC 25104 / DSM 625 / JCM 10724 / NBRC 103206 / NCIMB 11243 / YT-1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000037685	2023-07-14
274-Thermus-thermophilus	274	Thermus thermophilus	274, 262724, 300852	bacterium	Reference	UP000000532	300852	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) (Strain: ATCC 27634 / DSM 579 / HB8)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000532	2023-07-14
280-Xanthobacter-autotrophicus	280	Xanthobacter autotrophicus	280, 78245	bacterium	Reference	UP000002417	78245	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2) (Strain: ATCC BAA-1158 / Py2)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002417	2023-07-14
285-Comamonas-testosteroni	285	Comamonas testosteroni	285, 399795	bacterium	Non-redundant	UP000003039	399795	Comamonas testosteroni (strain DSM 14576 / KF-1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000003039	2023-09-01
287-Pseudomonas-aeruginosa	287	Pseudomonas aeruginosa	287, 208963, 208964, 350703, 350704, 381754, 388272, 557722, 652611, 983918, 1009714, 1081927, 1402582, 10000723, 10000815, 10000817, 10000818, 10000822, 10001057, 10001058, 10001519	bacterium	Reference	UP000002438	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) (Strain: ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002438	2023-07-14
292-Burkholderia-cepacia-Burkholderia-cepacia-genomovar-I	292	Burkholderia cepacia (Burkholderia cepacia genomovar I)	292	bacterium	Non-Redundant	UP000297350	292	Burkholderia cepacia (Pseudomonas cepacia) (Strain: b6)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000297350	2023-07-14
294-Pseudomonas-fluorescens	294	Pseudomonas fluorescens	294	bacterium	Reference	UP000002332	216595	Pseudomonas fluorescens (strain SBW25) (Strain: SBW25)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002332	2023-07-14
298-Pseudomonas-marginalis	298	Pseudomonas marginalis	298	bacterium	Non-Redundant	UP000276587	97473	Pseudomonas marginalis pv. marginalis (Strain: ICMP 3555)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000276587	2023-07-14
300-Pseudomonas-mendocina	300	Pseudomonas mendocina	300, 399739	bacterium	Reference	UP000000229	399739	Pseudomonas mendocina (strain ymp) (Strain: ymp)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000229	2023-07-14
301-Pseudomonas-oleovorans	301	Pseudomonas oleovorans	301	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:301	2023-09-01
303-Pseudomonas-putida	303	Pseudomonas putida	303, 76869, 351746	bacterium	Reference	UP000000556	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440) (Strain: ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000556	2023-07-14
306-Pseudomonas-sp	306	Pseudomonas sp.	306	bacterium	Reference	UP000315499	306	Pseudomonas sp.	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000315499	2023-07-14
312-Pseudomonas-sp-RS-16	312	Pseudomonas sp. RS-16	312	bacterium	Orphans		312	Pseudomonas sp. (strain RS-16)	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:312	2023-09-01
316-Stutzerimonas-stutzeri	316	Stutzerimonas stutzeri	316	bacterium	Reference	UP000000233	379731	Pseudomonas stutzeri (strain A1501) (Strain: A1501)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000233	2023-07-14
317-Pseudomonas-syringae	317	Pseudomonas syringae	321, 59510, 83167, 192087, 199200, 199201, 10001688, 10001689, 10001690	bacterium	Non-Redundant	UP000000426	205918	Pseudomonas syringae pv. syringae (strain B728a) (Strain: B728a)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000426	2023-07-14
329-Ralstonia-pickettii	329	Ralstonia pickettii	1366050	bacterium	Non-redundant	UP000013280	1264675	Ralstonia pickettii OR214	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000013280	2023-09-01
346-Xanthomonas-citri	346	Xanthomonas citri	346, 611301	bacterium	Non-Redundant	UP000050542	346	Xanthomonas citri (Xanthomonas campestris pv. citri) (Strain: LMG 7399)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000050542	2023-07-14
354-Azotobacter-vinelandii	354	Azotobacter vinelandii	354, 322710	bacterium	Non-Redundant	UP000002424	322710	Azotobacter vinelandii (strain DJ / ATCC BAA-1303) (Strain: DJ / ATCC BAA-1303)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002424	2023-07-14
358-Agrobacterium-tumefaciens	358	Agrobacterium tumefaciens	358	bacterium	Reference	UP000001600	311403	Agrobacterium radiobacter (strain K84 / ATCC BAA-868) (Strain: K84 / ATCC BAA-868)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001600	2023-07-14
382-Sinorhizobium-meliloti	382	Sinorhizobium meliloti	382, 266834	bacterium	Reference	UP000001976	266834	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti) (Strain: 1021)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001976	2023-07-14
384-Rhizobium-leguminosarum	384	Rhizobium leguminosarum	384	bacterium	Non-Redundant	UP000008330	395492	Rhizobium leguminosarum bv. trifolii (strain WSM2304) (Strain: WSM2304)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008330	2023-07-14
446-Legionella-pneumophila	446	Legionella pneumophila	446, 66976, 272624, 297245, 866628, 1383066	bacterium	Reference	UP000000609	272624	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513) (Strain: Philadelphia 1 / ATCC 33152 / DSM 7513)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000609	2023-07-14
450-Legionella-longbeachae	450	Legionella longbeachae	661367	bacterium	Non-Redundant	UP000001060	661367	Legionella longbeachae serogroup 1 (strain NSW150) (Strain: NSW150)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001060	2023-07-14
470-Acinetobacter-baumannii	470	Acinetobacter baumannii	470, 400667, 509173, 1310569	bacterium	Non-Redundant	UP000001741	509170	Acinetobacter baumannii (strain SDF)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001741	2023-07-14
471-Acinetobacter-calcoaceticus	471	Acinetobacter calcoaceticus	471, 575585	bacterium	Non-Redundant	UP000294963	471	Acinetobacter calcoaceticus (Strain: JUb89)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000294963	2023-07-14
480-Moraxella-catarrhalis	480	Moraxella catarrhalis	480, 857571, 857581, 1236608, 10001556, 10001831, 10001849, 10001851	bacterium	Reference	UP000000930	1236608	Moraxella catarrhalis (strain BBH18) (Strain: BBH18)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000930	2023-07-14
485-Neisseria-gonorrhoeae	485	Neisseria gonorrhoeae	485, 242231, 521006, 528345, 528346, 528348, 528351, 528354, 10000863, 10001077, 10001078, 10001558	bacterium	Reference	UP000000535	242231	Neisseria gonorrhoeae (strain ATCC 700825 / FA 1090) (Strain: ATCC 700825 / FA 1090)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000535	2023-07-14
486-Neisseria-lactamica	486	Neisseria lactamica	486	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:486	2023-09-01
487-Neisseria-meningitidis	487	Neisseria meningitidis	487, 491, 65699, 122586, 122587, 135720, 272831, 295996, 374833, 604162, 648194, 909420, 935595, 935597, 942513, 1095688, 1172206, 1386087, 10000843, 10000972, 10000979, 10001003, 10001044, 10001049, 10001050, 10001051, 10001161, 10001162, 10001524, 10001560, 10001604, 10001713, 10001783, 10001797, 10001860	bacterium	Reference	UP000000425	122586	Neisseria meningitidis serogroup B (strain MC58) (Strain: MC58)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000425	2023-07-14
502-Kingella-denitrificans	502	Kingella denitrificans	502	bacterium	Reference	UP000004088	888741	Kingella denitrificans ATCC 33394 (Strain: ATCC 33394)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000004088	2023-07-14
511-Alcaligenes-faecalis	511	Alcaligenes faecalis	511	bacterium	Non-Redundant	UP000278916	511	Alcaligenes faecalis (Strain: FDAARGOS_491)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000278916	2023-07-14
518-Bordetella-bronchiseptica	518	Bordetella bronchiseptica	518	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:518	2023-09-01
519-Bordetella-parapertussis	519	Bordetella parapertussis	519	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:519	2023-09-01
520-Bordetella-pertussis	520	Bordetella pertussis	520, 257313, 568706, 1017264, 1331267, 10002069, 10002422	bacterium	Reference	UP000002676	257313	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251) (Strain: Tohama I / ATCC BAA-589 / NCTC 13251)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002676	2023-07-14
521-Bordetella-avium	521	Bordetella avium	521, 360910	bacterium	Reference	UP000001977	360910	Bordetella avium (strain 197N) (Strain: 197N)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001977	2023-07-14
524-Acidiphilium-cryptum-Acidiphilum-cryptum	524	Acidiphilium cryptum (Acidiphilum cryptum)	524, 349163	bacterium	Reference	UP000000245	349163	Acidiphilium cryptum (strain JF-5) (Strain: JF-5)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000245	2023-07-14
529-Brucella-anthropi	529	Brucella anthropi	529	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:529	2023-09-01
539-Eikenella-corrodens	539	Eikenella corrodens	539	bacterium	Non-Redundant	UP000018554	1073362	Eikenella corrodens CC92I (Strain: CC92I)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000018554	2023-07-14
545-Citrobacter-koseri	545	Citrobacter koseri	545	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:545	2023-09-01
546-Citrobacter-freundii	546	Citrobacter freundii	546	bacterium	Non-Redundant	UP000030582	546	Citrobacter freundii (Strain: FDAARGOS_73)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000030582	2023-07-14
548-Klebsiella-aerogenes	548	Klebsiella aerogenes	548	bacterium	Non-Redundant	UP000035382	548	Klebsiella aerogenes (Enterobacter aerogenes) (Strain: GN03959)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000035382	2023-07-14
550-Enterobacter-cloacae	550	Enterobacter cloacae	550, 336306	bacterium	Non-Redundant	UP000076008	550	Enterobacter cloacae (Strain: e1252)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000076008	2023-07-14
554-Pectobacterium-carotovorum	554	Pectobacterium carotovorum	554, 561230	bacterium	Non-Redundant	UP000002736	561230	Pectobacterium carotovorum subsp. carotovorum (strain PC1) (Strain: PC1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002736	2023-07-14
556-Dickeya-chrysanthemi	556	Dickeya chrysanthemi	556	bacterium	Non-Redundant	UP000002735	561229	Dickeya chrysanthemi (strain Ech1591) (Dickeya zeae (strain Ech1591)) (Strain: Ech1591)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002735	2023-07-14
562-Escherichia-coli	562	Escherichia coli	562, 37762, 83333, 83334, 155864, 168807, 168927, 199310, 216592, 217992, 244320, 316385, 316401, 316407, 331111, 331112, 340184, 340185, 340186, 340197, 344601, 344610, 358709, 362663, 364106, 386585, 404392, 405955, 431946, 439184, 439855, 444453, 444454, 469008, 478005, 478006, 478008, 481805, 488477, 511145, 511693, 525281, 550672, 550676, 550677, 585034, 595496, 634468, 656380, 656419, 668369, 679205, 679206, 749547, 861906, 868160, 870963, 941280, 1005406, 1010795, 1045010, 1055535, 1095709, 1181769, 1197131, 1281154, 1302237, 1392869, 1432555, 1446704, 2170726, 10000727, 10000728, 10000733, 10000734, 10001145, 10001502, 10001528, 10001633, 10001659, 10002022, 10002127	bacterium	Reference	UP000000625	83333	Escherichia coli (strain K12) (Strain: K12 / MG1655 / ATCC 47076)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000625	2023-07-14
569-Hafnia-alvei	569	Hafnia alvei	569	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:569	2023-09-01
571-Klebsiella-oxytoca	571	Klebsiella oxytoca	571	bacterium	Non-Redundant	UP000247485	571	Klebsiella oxytoca (Strain: 67)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000247485	2023-07-14
573-Klebsiella-pneumoniae	573	Klebsiella pneumoniae	573, 72407, 272620, 484021, 507522, 1123862, 1316582, 1328420, 1438713	bacterium	Reference	UP000000265	272620	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578) (Strain: ATCC 700721 / MGH 78578)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000265	2023-07-14
582-Morganella-morganii	582	Morganella morganii	582	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:582	2023-09-01
584-Proteus-mirabilis	584	Proteus mirabilis	584, 529507, 10001006, 10001490, 10001491, 10001498, 10001499, 10001500	bacterium	Reference	UP000008319	529507	Proteus mirabilis (strain HI4320) (Strain: HI4320)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008319	2023-07-14
585-Proteus-vulgaris	585	Proteus vulgaris	585, 10001489	bacterium	Non-Redundant	UP000515423	585	Proteus vulgaris (Strain: P3M)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000515423	2023-07-14
588-Providencia-stuartii	588	Providencia stuartii	10001514, 10001588	bacterium	Non-Redundant	UP000005012	1157951	Providencia stuartii (strain MRSN 2154) (Strain: MRSN 2154)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000005012	2023-07-14
599-Salmonella-sp	599	Salmonella sp.	599	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:599	2023-09-01
615-Serratia-marcescens	615	Serratia marcescens	615	bacterium	Non-Redundant	UP000237365	615	Serratia marcescens (Strain: KZ19)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000237365	2023-07-14
621-Shigella-boydii	621	Shigella boydii	621, 300268, 344609	bacterium	Non-Redundant	UP000007067	300268	Shigella boydii serotype 4 (strain Sb227) (Strain: Sb227)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000007067	2023-07-14
622-Shigella-dysenteriae-Escherichia_Shigella-dysenteriae	622	Shigella dysenteriae (Escherichia/Shigella dysenteriae)	622, 300267, 10000748, 10000749	bacterium	Reference	UP000002716	300267	Shigella dysenteriae serotype 1 (strain Sd197) (Strain: Sd197)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002716	2023-07-14
623-Shigella-flexneri-Escherichia-flexneri	623	Shigella flexneri (Escherichia flexneri)	623, 41434, 42897, 198214, 198215, 373383, 373384, 374923, 424717, 424718, 424719, 424720, 435321, 591020, 766146, 766147, 766154, 984898, 1086030, 1288825, 1434151, 1434154, 10000752, 10000754	bacterium	Reference	UP000001006	623	Shigella flexneri (Strain: 301 / Serotype 2a)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001006	2023-07-14
624-Shigella-sonnei	624	Shigella sonnei	624, 216599, 300269	bacterium	Non-Redundant	UP000297764	624	Shigella sonnei (Strain: AM374)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000297764	2023-07-14
630-Yersinia-enterocolitica	630	Yersinia enterocolitica	630, 34051, 34054, 34055, 393305, 913028	bacterium	Non-Redundant	UP000000642	393305	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081) (Strain: NCTC 13174 / 8081)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000642	2023-07-14
632-Yersinia-pestis	632	Yersinia pestis	632, 187410, 214092, 349746, 360102, 373665, 375450, 377628, 386656, 412420, 637382, 665028, 687916, 992164, 1455696, 10000756, 10000757	bacterium	Reference	UP000000815	632	Yersinia pestis (Strain: CO-92 / Biovar Orientalis)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000815	2023-07-14
633-Yersinia-pseudotuberculosis	633	Yersinia pseudotuberculosis	633, 273123, 349747, 502800, 502801, 10001895	bacterium	Non-Redundant	UP000001011	273123	Yersinia pseudotuberculosis serotype I (strain IP32953) (Strain: IP32953)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001011	2023-07-14
634-Yersinia-bercovieri	634	Yersinia bercovieri	349968	bacterium	Non-Redundant	UP000229378	634	Yersinia bercovieri (Strain: SCPM-O-B-7607)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000229378	2023-07-14
636-Edwardsiella-tarda	636	Edwardsiella tarda	636	bacterium	Non-Redundant	UP000002230	718251	Edwardsiella tarda (strain FL6-60) (Strain: FL6-60)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002230	2023-07-14
644-Aeromonas-hydrophila	644	Aeromonas hydrophila	644	bacterium	Reference	UP000000756	380703	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049) (Strain: ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000756	2023-07-14
645-Aeromonas-salmonicida	645	Aeromonas salmonicida	645, 29491	bacterium	Non-Redundant	UP000287121	645	Aeromonas salmonicida (Strain: 947C)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000287121	2023-07-14
646-Aeromonas-sobria	646	Aeromonas sobria	646	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:646	2023-09-01
654-Aeromonas-veronii	654	Aeromonas veronii	654	bacterium					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:654	2023-09-01
659-Photobacterium-phosphoreum	659	Photobacterium phosphoreum	659	bacterium	Non-Redundant	UP000241805	659	Photobacterium phosphoreum (Strain: AK-3)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000241805	2023-07-14
661-Photobacterium-angustum	661	Photobacterium angustum	314292	bacterium	Non-Redundant	UP000241440	661	Photobacterium angustum (Strain: A2-1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000241440	2023-07-14
663-Vibrio-alginolyticus	663	Vibrio alginolyticus	663, 314288	bacterium	Non-Redundant	UP000006248	674977	Vibrio alginolyticus 40B (Strain: 40B)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006248	2023-07-14
666-Vibrio-cholerae	666	Vibrio cholerae	666, 686, 44104, 45888, 127906, 243277, 345072, 345073, 345074, 345075, 345076, 404974, 412614, 412883, 412966, 412967, 417398, 417399, 417400, 592313, 675809, 10000567, 10000568	bacterium	Reference	UP000000584	243277	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961) (Strain: ATCC 39315 / El Tor Inaba N16961)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000584	2023-07-14
