Species Key	Species ID	Species Label	Active Taxa	Group
280-Xanthobacter-autotrophicus	280	Xanthobacter autotrophicus	280, 78245	bacterium
285-Comamonas-testosteroni	285	Comamonas testosteroni	285, 399795	bacterium
287-Pseudomonas-aeruginosa	287	Pseudomonas aeruginosa	287, 208963, 208964, 350703, 350704, 381754, 388272, 557722, 652611, 983918, 1009714, 1081927, 1402582, 10000723, 10000815, 10000817, 10000818, 10000822, 10001057, 10001058, 10001519	bacterium
292-Burkholderia-cepacia-Burkholderia-cepacia-genomovar-I	292	Burkholderia cepacia (Burkholderia cepacia genomovar I)	292	bacterium
294-Pseudomonas-fluorescens	294	Pseudomonas fluorescens	294	bacterium
298-Pseudomonas-marginalis	298	Pseudomonas marginalis	298	bacterium
300-Pseudomonas-mendocina	300	Pseudomonas mendocina	300, 399739	bacterium
301-Pseudomonas-oleovorans	301	Pseudomonas oleovorans	301	bacterium
303-Pseudomonas-putida	303	Pseudomonas putida	303, 76869, 351746	bacterium
306-Pseudomonas-sp	306	Pseudomonas sp.	306	bacterium
312-Pseudomonas-sp-RS-16	312	Pseudomonas sp. RS-16	312	bacterium
316-Stutzerimonas-stutzeri	316	Stutzerimonas stutzeri	316	bacterium
317-Pseudomonas-syringae	317	Pseudomonas syringae	321, 59510, 83167, 192087, 199200, 199201, 10001688, 10001689, 10001690	bacterium
329-Ralstonia-pickettii	329	Ralstonia pickettii	1366050	bacterium
346-Xanthomonas-citri	346	Xanthomonas citri	346, 611301	bacterium
354-Azotobacter-vinelandii	354	Azotobacter vinelandii	354, 322710	bacterium
358-Agrobacterium-tumefaciens	358	Agrobacterium tumefaciens	358	bacterium
382-Sinorhizobium-meliloti	382	Sinorhizobium meliloti	382, 266834	bacterium
384-Rhizobium-leguminosarum	384	Rhizobium leguminosarum	384	bacterium
446-Legionella-pneumophila	446	Legionella pneumophila	446, 66976, 272624, 297245, 866628, 1383066	bacterium
450-Legionella-longbeachae	450	Legionella longbeachae	661367	bacterium
470-Acinetobacter-baumannii	470	Acinetobacter baumannii	470, 400667, 509173, 1310569	bacterium
471-Acinetobacter-calcoaceticus	471	Acinetobacter calcoaceticus	471, 575585	bacterium
480-Moraxella-catarrhalis	480	Moraxella catarrhalis	480, 857571, 857581, 1236608, 10001556, 10001831, 10001849, 10001851	bacterium
485-Neisseria-gonorrhoeae	485	Neisseria gonorrhoeae	485, 242231, 521006, 528345, 528346, 528348, 528351, 528354, 10000863, 10001077, 10001078, 10001558	bacterium
486-Neisseria-lactamica	486	Neisseria lactamica	486	bacterium
487-Neisseria-meningitidis	487	Neisseria meningitidis	487, 491, 65699, 122586, 122587, 135720, 272831, 295996, 374833, 604162, 648194, 909420, 935595, 935597, 942513, 1095688, 1172206, 1386087, 10000843, 10000972, 10000979, 10001003, 10001044, 10001049, 10001050, 10001051, 10001161, 10001162, 10001524, 10001560, 10001604, 10001713, 10001783, 10001797, 10001860	bacterium
502-Kingella-denitrificans	502	Kingella denitrificans	502	bacterium
511-Alcaligenes-faecalis	511	Alcaligenes faecalis	511	bacterium
518-Bordetella-bronchiseptica	518	Bordetella bronchiseptica	518	bacterium
519-Bordetella-parapertussis	519	Bordetella parapertussis	519	bacterium
520-Bordetella-pertussis	520	Bordetella pertussis	520, 257313, 568706, 1017264, 1331267, 10002069, 10002422	bacterium
521-Bordetella-avium	521	Bordetella avium	521, 360910	bacterium
524-Acidiphilium-cryptum-Acidiphilum-cryptum	524	Acidiphilium cryptum (Acidiphilum cryptum)	524, 349163	bacterium
529-Brucella-anthropi	529	Brucella anthropi	529	bacterium
539-Eikenella-corrodens	539	Eikenella corrodens	539	bacterium
545-Citrobacter-koseri	545	Citrobacter koseri	545	bacterium
546-Citrobacter-freundii	546	Citrobacter freundii	546	bacterium
548-Klebsiella-aerogenes	548	Klebsiella aerogenes	548	bacterium
550-Enterobacter-cloacae	550	Enterobacter cloacae	550, 336306	bacterium
554-Pectobacterium-carotovorum	554	Pectobacterium carotovorum	554, 561230	bacterium
556-Dickeya-chrysanthemi	556	Dickeya chrysanthemi	556	bacterium
562-Escherichia-coli	562	Escherichia coli	562, 37762, 83333, 83334, 155864, 168807, 168927, 199310, 216592, 217992, 244320, 316385, 316401, 316407, 331111, 331112, 340184, 340185, 340186, 340197, 344601, 344610, 358709, 362663, 364106, 386585, 404392, 405955, 431946, 439184, 439855, 444453, 444454, 469008, 478005, 478006, 478008, 481805, 488477, 511145, 511693, 525281, 550672, 550676, 550677, 585034, 595496, 634468, 656380, 656419, 668369, 679205, 679206, 749547, 861906, 868160, 870963, 941280, 1005406, 1010795, 1045010, 1055535, 1095709, 1181769, 1197131, 1281154, 1302237, 1392869, 1432555, 1446704, 2170726, 10000727, 10000728, 10000733, 10000734, 10001145, 10001502, 10001528, 10001633, 10001659, 10002022, 10002127	bacterium
569-Hafnia-alvei	569	Hafnia alvei	569	bacterium
571-Klebsiella-oxytoca	571	Klebsiella oxytoca	571	bacterium
573-Klebsiella-pneumoniae	573	Klebsiella pneumoniae	573, 72407, 272620, 484021, 507522, 1123862, 1316582, 1328420, 1438713	bacterium
582-Morganella-morganii	582	Morganella morganii	582	bacterium
584-Proteus-mirabilis	584	Proteus mirabilis	584, 529507, 10001006, 10001490, 10001491, 10001498, 10001499, 10001500	bacterium
585-Proteus-vulgaris	585	Proteus vulgaris	585, 10001489	bacterium
588-Providencia-stuartii	588	Providencia stuartii	10001514, 10001588	bacterium
599-Salmonella-sp	599	Salmonella sp.	599	bacterium
615-Serratia-marcescens	615	Serratia marcescens	615	bacterium
621-Shigella-boydii	621	Shigella boydii	621, 300268, 344609	bacterium
622-Shigella-dysenteriae-Escherichia_Shigella-dysenteriae	622	Shigella dysenteriae (Escherichia/Shigella dysenteriae)	622, 300267, 10000748, 10000749	bacterium
623-Shigella-flexneri-Escherichia-flexneri	623	Shigella flexneri (Escherichia flexneri)	623, 41434, 42897, 198214, 198215, 373383, 373384, 374923, 424717, 424718, 424719, 424720, 435321, 591020, 766146, 766147, 766154, 984898, 1086030, 1288825, 1434151, 1434154, 10000752, 10000754	bacterium
624-Shigella-sonnei	624	Shigella sonnei	624, 216599, 300269	bacterium
630-Yersinia-enterocolitica	630	Yersinia enterocolitica	630, 34051, 34054, 34055, 393305, 913028	bacterium
632-Yersinia-pestis	632	Yersinia pestis	632, 187410, 214092, 349746, 360102, 373665, 375450, 377628, 386656, 412420, 637382, 665028, 687916, 992164, 1455696, 10000756, 10000757	bacterium
633-Yersinia-pseudotuberculosis	633	Yersinia pseudotuberculosis	633, 273123, 349747, 502800, 502801, 10001895	bacterium
634-Yersinia-bercovieri	634	Yersinia bercovieri	349968	bacterium
636-Edwardsiella-tarda	636	Edwardsiella tarda	636	bacterium
644-Aeromonas-hydrophila	644	Aeromonas hydrophila	644	bacterium
645-Aeromonas-salmonicida	645	Aeromonas salmonicida	645, 29491	bacterium
646-Aeromonas-sobria	646	Aeromonas sobria	646	bacterium
654-Aeromonas-veronii	654	Aeromonas veronii	654	bacterium
659-Photobacterium-phosphoreum	659	Photobacterium phosphoreum	659	bacterium
661-Photobacterium-angustum	661	Photobacterium angustum	314292	bacterium
663-Vibrio-alginolyticus	663	Vibrio alginolyticus	663, 314288	bacterium
666-Vibrio-cholerae	666	Vibrio cholerae	666, 686, 44104, 45888, 127906, 243277, 345072, 345073, 345074, 345075, 345076, 404974, 412614, 412883, 412966, 412967, 417398, 417399, 417400, 592313, 675809, 10000567, 10000568	bacterium
670-Vibrio-parahaemolyticus	670	Vibrio parahaemolyticus	670, 223926, 419109, 563773, 627611	bacterium
671-Vibrio-proteolyticus	671	Vibrio proteolyticus	671	bacterium
672-Vibrio-vulnificus	672	Vibrio vulnificus	672, 196600, 216895, 914127, 10002557	bacterium
674-Vibrio-mimicus	674	Vibrio mimicus	674	bacterium
703-Plesiomonas-shigelloides	703	Plesiomonas shigelloides	703	bacterium
714-Aggregatibacter-actinomycetemcomitans	714	Aggregatibacter actinomycetemcomitans	714, 1035194, 1089447, 10001628	bacterium
715-Actinobacillus-pleuropneumoniae	715	Actinobacillus pleuropneumoniae	715, 40325, 44294, 209841, 228399, 416269, 537457	bacterium
726-Haemophilus-haemolyticus	726	Haemophilus haemolyticus	726	bacterium
727-Haemophilus-influenzae	727	Haemophilus influenzae	725, 727, 71421, 123833, 262727, 262728, 281310, 374927, 374928, 374931, 374932, 374933, 375177, 375432, 456482, 521004, 521005, 656912, 656913, 10000807, 10000833, 10000860, 10000861, 10001042, 10001053, 10001055, 10001056, 10001149, 10001150, 10001155, 10001520, 10001523	bacterium
728-Avibacterium-paragallinarum	728	Avibacterium paragallinarum	728	bacterium
729-Haemophilus-parainfluenzae	729	Haemophilus parainfluenzae	729	bacterium
730-[Haemophilus]-ducreyi	730	[Haemophilus] ducreyi	730, 233412	bacterium
731-Histophilus-somni	731	Histophilus somni	731, 205914, 228400	bacterium
732-Aggregatibacter-aphrophilus	732	Aggregatibacter aphrophilus	732	bacterium
735-Haemophilus-parahaemolyticus	735	Haemophilus parahaemolyticus	735	bacterium
736-Haemophilus-paraphrohaemolyticus	736	Haemophilus paraphrohaemolyticus	736	bacterium
738-Glaesserella-parasuis	738	Glaesserella parasuis	738, 557723, 1117322	bacterium
747-Pasteurella-multocida	747	Pasteurella multocida	747, 44283, 272843, 10000759	bacterium
769-Anaplasma-centrale	769	Anaplasma centrale	769, 574556	bacterium
770-Anaplasma-marginale	770	Anaplasma marginale	770, 234826, 320483, 10000760	bacterium
774-Bartonella-bacilliformis	774	Bartonella bacilliformis	774, 360095	bacterium
777-Coxiella-burnetii	777	Coxiella burnetii	777, 227377, 360115, 360116, 360117, 434922, 434923, 434924, 1321945	bacterium
779-Ehrlichia-ruminantium-heartwater-rickettsia	779	Ehrlichia ruminantium (heartwater rickettsia)	779, 254945, 302409	bacterium
781-Rickettsia-conorii	781	Rickettsia conorii	781, 272944, 302011	bacterium
782-Rickettsia-prowazekii	782	Rickettsia prowazekii	782, 272947	bacterium
783-Rickettsia-rickettsii	783	Rickettsia rickettsii	783, 392021, 452659, 1105104	bacterium
784-Orientia-tsutsugamushi	784	Orientia tsutsugamushi	784, 334380, 357244, 10000761	bacterium
785-Rickettsia-typhi	785	Rickettsia typhi	785, 257363	bacterium
786-Rickettsia-akari-rickettsialpox	786	Rickettsia akari (rickettsialpox)	786, 293614	bacterium
787-Rickettsia-australis	787	Rickettsia australis	787	bacterium
788-Rickettsia-canadensis	788	Rickettsia canadensis	788	bacterium
813-Chlamydia-trachomatis	813	Chlamydia trachomatis	813, 272561, 315277, 471472, 471473, 573237, 580047, 596777, 634463, 634464, 672161, 707185, 707186, 759363, 10000763, 10000764, 10000765, 10000766, 10000767, 10000768, 10000769, 10000804, 10000845, 10000853, 10000858, 10001008, 10001085, 10001121, 10001141	bacterium
817-Bacteroides-fragilis	817	Bacteroides fragilis	817, 295405	bacterium
818-Bacteroides-thetaiotaomicron	818	Bacteroides thetaiotaomicron	818, 226186	bacterium
820-Bacteroides-uniformis	820	Bacteroides uniformis	820	bacterium
821-Phocaeicola-vulgatus	821	Phocaeicola vulgatus	821	bacterium
823-Parabacteroides-distasonis	823	Parabacteroides distasonis	823	bacterium
837-Porphyromonas-gingivalis	837	Porphyromonas gingivalis	837, 242619, 431947, 1125722, 1403335, 1403337, 1403338, 10001081, 10001223	bacterium
851-Fusobacterium-nucleatum-Fusibacterium-nucleatum	851	Fusobacterium nucleatum (Fusibacterium nucleatum)	851, 76856, 190304, 1204474, 1297579, 1316586, 1316587	bacterium
853-Faecalibacterium-prausnitzii	853	Faecalibacterium prausnitzii	853	bacterium
891-Desulfuromonas-acetoxidans	891	Desulfuromonas acetoxidans	281689	bacterium
907-Megasphaera-elsdenii	907	Megasphaera elsdenii	907, 1064535	bacterium
920-Acidithiobacillus-ferrooxidans	920	Acidithiobacillus ferrooxidans	920	bacterium
944-Ehrlichia-canis	944	Ehrlichia canis	944, 269484	bacterium
945-Ehrlichia-chaffeensis	945	Ehrlichia chaffeensis	945, 205920	bacterium
947-Ehrlichia-ewingii	947	Ehrlichia ewingii	947	bacterium
948-Anaplasma-phagocytophilum-agent-of-human-granulocytic-ehrlichiosis	948	Anaplasma phagocytophilum (agent of human granulocytic ehrlichiosis)	948, 212042, 1217107, 1359152, 1359162	bacterium
955-Wolbachia-pipientis	955	Wolbachia pipientis	955	bacterium
985-Cytophaga-hutchinsonii	985	Cytophaga hutchinsonii	269798	bacterium
1006-Marivirga-tractuosa	1006	Marivirga tractuosa	1006	bacterium
1018-Capnocytophaga-ochracea	1018	Capnocytophaga ochracea	1018, 521097	bacterium
1019-Capnocytophaga-sputigena	1019	Capnocytophaga sputigena	1019	bacterium
1022-Beggiatoa-alba	1022	Beggiatoa alba	1022	bacterium
1027-Microscilla-marina	1027	Microscilla marina	313606	bacterium
1063-Cereibacter-sphaeroides	1063	Cereibacter sphaeroides	1063, 272943, 349101, 557760	bacterium
1076-Rhodopseudomonas-palustris	1076	Rhodopseudomonas palustris	1076, 316056	bacterium
1102-Prosthecochloris-aestuarii	1102	Prosthecochloris aestuarii	290512	bacterium
1108-Chloroflexus-aurantiacus	1108	Chloroflexus aurantiacus	324602	bacterium
1126-Microcystis-aeruginosa	1126	Microcystis aeruginosa	1126	bacterium
1148-Synechocystis-sp-PCC-6803	1148	Synechocystis sp. PCC 6803	1148	bacterium
1173-Anabaena-oscillarioides	1173	Anabaena oscillarioides	1173	bacterium
1206-Trichodesmium-erythraeum	1206	Trichodesmium erythraeum	203124	bacterium
1219-Prochlorococcus-marinus	1219	Prochlorococcus marinus	93058	bacterium
1245-Leuconostoc-mesenteroides	1245	Leuconostoc mesenteroides	1245	bacterium
1254-Pediococcus-acidilactici	1254	Pediococcus acidilactici	1254	bacterium
1260-Finegoldia-magna	1260	Finegoldia magna	1260, 334413	bacterium
1265-Ruminococcus-flavefaciens	1265	Ruminococcus flavefaciens	1265, 641112	bacterium
1270-Micrococcus-luteus	1270	Micrococcus luteus	1270	bacterium
1280-Staphylococcus-aureus	1280	Staphylococcus aureus	1280, 93061, 93062, 158878, 158879, 196620, 273036, 282458, 282459, 359787, 367830, 426430, 451515, 451516, 548470, 548473, 553583, 585155, 754025, 754026, 867914, 904779, 1169408, 1193576, 1242971, 1385527, 1385544, 1409403, 1409562, 1410892, 1411538, 1413414, 1413510, 1417139, 1448840, 1458279, 10001662, 10002121, 10002122, 10002129	bacterium
1282-Staphylococcus-epidermidis	1282	Staphylococcus epidermidis	1282, 176279, 525374, 1219368, 1236978	bacterium
1292-Staphylococcus-warneri	1292	Staphylococcus warneri	1292	bacterium
1296-Mammaliicoccus-sciuri	1296	Mammaliicoccus sciuri	1296	bacterium
1299-Deinococcus-radiodurans-Deinococcus-radiidurans	1299	Deinococcus radiodurans (Deinococcus radiidurans)	1299, 243230	bacterium
1302-Streptococcus-gordonii	1302	Streptococcus gordonii	1302	bacterium
1303-Streptococcus-oralis	1303	Streptococcus oralis	1303, 1095738	bacterium
1304-Streptococcus-salivarius	1304	Streptococcus salivarius	1304, 10001975	bacterium
1305-Streptococcus-sanguinis	1305	Streptococcus sanguinis	1305, 388919, 10001439	bacterium
1307-Streptococcus-suis	1307	Streptococcus suis	1307, 1184252, 1214154, 1214159, 10002192	bacterium
1308-Streptococcus-thermophilus-Streptococcus-salivarius-thermophilus	1308	Streptococcus thermophilus (Streptococcus salivarius thermophilus)	1308	bacterium
1309-Streptococcus-mutans	1309	Streptococcus mutans	1309, 40287, 210007, 857099, 1198676, 10000773	bacterium
1310-Streptococcus-sobrinus	1310	Streptococcus sobrinus	1310, 246202	bacterium
1311-Streptococcus-agalactiae	1311	Streptococcus agalactiae	1311, 208435, 211110, 216466, 216495, 342613, 342614, 342615, 342616, 342617, 355315, 1154788, 10001795, 10001900	bacterium
1313-Streptococcus-pneumoniae	1313	Streptococcus pneumoniae	1313, 170187, 171101, 189423, 216600, 373153, 406560, 453366, 497963, 880525, 914129, 10001638, 10001644, 10001645, 10001646, 10001651, 10001686, 10001687, 10001730, 10001731, 10001792, 10001801, 10001833, 10001834, 10002161, 10002272, 10002314	bacterium
1314-Streptococcus-pyogenes	1314	Streptococcus pyogenes	1314, 160490, 160491, 186103, 198466, 286636, 301447, 301448, 301449, 301450, 301451, 301452, 342023, 370551, 370553, 370554, 404330, 404331, 410069, 471876, 487975, 561522, 562017, 1115815, 1115822, 1115825, 1207470, 10000542, 10000775, 10000776, 10000777, 10000778, 10000779, 10000780, 10000781, 10000782, 10000783, 10000784, 10000785, 10000786, 10000787, 10000788, 10000789, 10000790, 10000791, 10000792, 10000793, 10000794, 10000795, 10000796, 10000797, 10000798, 10000824	bacterium
1317-Streptococcus-downei-Streptococcus-downensis	1317	Streptococcus downei (Streptococcus downensis)	1317	bacterium
1319-Streptococcus-sp-group-B	1319	Streptococcus sp. 'group B'	1319	bacterium
1320-Streptococcus-sp-group-G	1320	Streptococcus sp. 'group G'	1320	bacterium
1325-Streptococcus-sp-GX7805	1325	Streptococcus sp. GX7805	1325	bacterium
1328-Streptococcus-anginosus	1328	Streptococcus anginosus	1328, 10001663	bacterium
1329-Streptococcus-canis	1329	Streptococcus canis	1329	bacterium
1334-Streptococcus-dysgalactiae	1334	Streptococcus dysgalactiae	1334, 119602, 486410, 10001641, 10001676	bacterium
1336-Streptococcus-equi	1336	Streptococcus equi	1336, 40041	bacterium
1338-Streptococcus-intermedius	1338	Streptococcus intermedius	1338	bacterium
1349-Streptococcus-uberis	1349	Streptococcus uberis	1349	bacterium
1351-Enterococcus-faecalis	1351	Enterococcus faecalis	1351, 565644, 1169282	bacterium
1352-Enterococcus-faecium	1352	Enterococcus faecium	1352, 333849, 525279, 1134816	bacterium
1358-Lactococcus-lactis	1358	Lactococcus lactis	1358, 272623, 684738	bacterium
1359-Lactococcus-cremoris	1359	Lactococcus cremoris	272622, 416870, 746361	bacterium
1390-Bacillus-amyloliquefaciens	1390	Bacillus amyloliquefaciens	1390, 999891	bacterium
1392-Bacillus-anthracis-anthrax	1392	Bacillus anthracis (anthrax)	1392, 191218, 198094, 212045, 260799, 261591, 261594, 405536, 486619, 486620, 486621, 486623, 486624, 568206, 592021, 10000291	bacterium
1396-Bacillus-cereus	1396	Bacillus cereus	1396, 222523, 226900, 269801, 288681, 347495, 405531, 405532, 405533, 405917, 451707, 451708, 451709, 526974, 526977, 526979, 526980, 572264, 1053229	bacterium
1402-Bacillus-licheniformis	1402	Bacillus licheniformis	1402	bacterium
1404-Priestia-megaterium	1404	Priestia megaterium	1404	bacterium
1405-Bacillus-mycoides	1405	Bacillus mycoides	1405, 315730	bacterium
1406-Paenibacillus-polymyxa	1406	Paenibacillus polymyxa	1406	bacterium
1408-Bacillus-pumilus	1408	Bacillus pumilus	1408	bacterium
1421-Lysinibacillus-sphaericus	1421	Lysinibacillus sphaericus	1421	bacterium
1422-Geobacillus-stearothermophilus	1422	Geobacillus stearothermophilus	1422	bacterium
1423-Bacillus-subtilis	1423	Bacillus subtilis	1423, 224308, 535026, 645657	bacterium
1427-Bacillus-thermoproteolyticus	1427	Bacillus thermoproteolyticus	1427	bacterium
1428-Bacillus-thuringiensis	1428	Bacillus thuringiensis	1428, 1435, 29339, 128936, 339854, 412694, 527019, 527020, 527024, 527026, 527029	bacterium
1454-Schinkia-azotoformans-Bacillus-azotiformans	1454	Schinkia azotoformans (Bacillus azotiformans)	1454	bacterium
1467-Lederbergia-lenta	1467	Lederbergia lenta	1467	bacterium
1488-Clostridium-acetobutylicum	1488	Clostridium acetobutylicum	272562	bacterium
1490-Paraclostridium-bifermentans	1490	Paraclostridium bifermentans	1490	bacterium
1491-Clostridium-botulinum	1491	Clostridium botulinum	1491, 36826, 36827, 36828, 36829, 36830, 36831, 413999, 441771, 445335, 445338, 498213, 498214, 508767, 515621, 935198, 10000293, 10000294, 10000295, 10000296, 10000297, 10000299, 10000301, 10000302, 10000303, 10000304, 10000305, 10000306	bacterium
1492-Clostridium-butyricum	1492	Clostridium butyricum	1492, 447214	bacterium
1496-Clostridium-difficile	1496	Clostridium difficile	1496, 272563, 645462, 645463, 699035, 699036, 699037, 997827, 1121308, 1169124, 1169127, 10000307, 10001847, 10002079	bacterium
1502-Clostridium-perfringens	1502	Clostridium perfringens	1502, 107819, 195102, 488537	bacterium
1513-Clostridium-tetani	1513	Clostridium tetani	1513, 212717	bacterium
1515-Acetivibrio-thermocellus	1515	Acetivibrio thermocellus	203119	bacterium
1520-Clostridium-beijerinckii	1520	Clostridium beijerinckii	1520, 290402	bacterium
1521-Ruminiclostridium-cellulolyticum-Clostridium-cellulosilyticum	1521	Ruminiclostridium cellulolyticum (Clostridium cellulosilyticum)	1521, 394503	bacterium
1525-Moorella-thermoacetica	1525	Moorella thermoacetica	264732	bacterium
1531-Enterocloster-clostridioformis	1531	Enterocloster clostridioformis	1531	bacterium
1542-Clostridium-novyi	1542	Clostridium novyi	1542, 386415	bacterium
1550-Clostridium-subterminale	1550	Clostridium subterminale	1550	bacterium
1579-Lactobacillus-acidophilus	1579	Lactobacillus acidophilus	1423717	bacterium
1581-Lentilactobacillus-buchneri	1581	Lentilactobacillus buchneri	525318	bacterium
1582-Lacticaseibacillus-casei	1582	Lacticaseibacillus casei	1582, 1423732	bacterium
1584-Lactobacillus-delbrueckii	1584	Lactobacillus delbrueckii	1585, 29397, 390333	bacterium
1590-Lactiplantibacillus-plantarum	1590	Lactiplantibacillus plantarum	1590	bacterium
1596-Lactobacillus-gasseri	1596	Lactobacillus gasseri	324831	bacterium
1598-Limosilactobacillus-reuteri	1598	Limosilactobacillus reuteri	557433	bacterium
1599-Latilactobacillus-sakei	1599	Latilactobacillus sakei	1599	bacterium
1604-Lactobacillus-amylovorus	1604	Lactobacillus amylovorus	1604	bacterium
1605-Ligilactobacillus-animalis	1605	Ligilactobacillus animalis	1605, 930942	bacterium
1613-Limosilactobacillus-fermentum	1613	Limosilactobacillus fermentum	1613	bacterium
1622-Ligilactobacillus-murinus	1622	Ligilactobacillus murinus	1622, 1235801	bacterium
1638-Listeria-ivanovii	1638	Listeria ivanovii	1638	bacterium
1639-Listeria-monocytogenes	1639	Listeria monocytogenes	1639, 169963, 176281, 265669, 267409, 267410, 393117, 393124, 393125, 393126, 393128, 393130, 393133, 401650, 552536, 568819, 863769, 882095, 1230340, 1334565, 10000308, 10000309	bacterium
1640-Listeria-seeligeri	1640	Listeria seeligeri	1640	bacterium
1641-Listeria-grayi	1641	Listeria grayi	1641	bacterium
1642-Listeria-innocua	1642	Listeria innocua	1642, 272626	bacterium
1643-Listeria-welshimeri	1643	Listeria welshimeri	1643, 386043	bacterium
1646-Renibacterium-salmoninarum	1646	Renibacterium salmoninarum	1646, 288705	bacterium
1655-Actinomyces-naeslundii	1655	Actinomyces naeslundii	1655	bacterium
1657-Actinobaculum-suis	1657	Actinobaculum suis	1657	bacterium
1659-Actinomyces-israelii	1659	Actinomyces israelii	1659	bacterium
1660-Schaalia-odontolytica	1660	Schaalia odontolytica	1660, 411466	bacterium
1661-Trueperella-pyogenes	1661	Trueperella pyogenes	1661, 10000980	bacterium
1664-Arthrobacter-glacialis	1664	Arthrobacter glacialis	1664	bacterium
1681-Bifidobacterium-bifidum	1681	Bifidobacterium bifidum	1681, 1207543	bacterium
1685-Bifidobacterium-breve	1685	Bifidobacterium breve	1685	bacterium
1717-Corynebacterium-diphtheriae	1717	Corynebacterium diphtheriae	1717, 257309	bacterium
1718-Corynebacterium-glutamicum	1718	Corynebacterium glutamicum	1718, 196627, 340322	bacterium
1719-Corynebacterium-pseudotuberculosis	1719	Corynebacterium pseudotuberculosis	1719	bacterium
1731-Peptoclostridium-acidaminophilum	1731	Peptoclostridium acidaminophilum	1731	bacterium
1744-Propionibacterium-freudenreichii	1744	Propionibacterium freudenreichii	1752	bacterium
1747-Cutibacterium-acnes-Propionicibacterium-acnes	1747	Cutibacterium acnes (Propionicibacterium acnes)	1747, 765103, 1091045, 1905725	bacterium
1764-Mycobacterium-avium	1764	Mycobacterium avium	1764, 1770, 44454, 243243, 262316, 439334, 553481, 1010838, 1074454, 1235988, 1299329, 1391998, 10000313, 10000314, 10000316, 10000317, 10000318, 10000319, 10000320, 10000328, 10001884	bacterium
1766-Mycolicibacterium-fortuitum	1766	Mycolicibacterium fortuitum	1766, 144549	bacterium
1767-Mycobacterium-intracellulare	1767	Mycobacterium intracellulare	1767, 487521	bacterium
1768-Mycobacterium-kansasii	1768	Mycobacterium kansasii	1768, 557599, 1299328	bacterium
1769-Mycobacterium-leprae	1769	Mycobacterium leprae	1769, 272631	bacterium
1771-Mycolicibacterium-phlei	1771	Mycolicibacterium phlei	1771	bacterium
1772-Mycolicibacterium-smegmatis	1772	Mycolicibacterium smegmatis	1772, 246196	bacterium
