Unnamed: 0	Organism ID	Organism Name	Accession	Protein Name	Parent Database	Parent Accession	Parent Name	Unnamed: 7	Unnamed: 8	Unnamed: 9	Accession Gene
34	4565	Triticum aestivum	A0A0K2QJY6	Gliadin alpha-B25	IUIS	715	Tri a 21				
35	4565	Triticum aestivum	AAA96522.1	alpha-gliadin storage protein	IUIS	715	Tri a 21				
36	4565	Triticum aestivum	AAB48479.1	low-molecular-weight glutenin storage protein	IUIS	728	Tri a 36				
37	4565	Triticum aestivum	AAG17702.1	omega gliadin storage protein	IUIS	620	Tri a 19				
38	4565	Triticum aestivum	AAK84772.1	gamma-gliadin	IUIS	796	Tri a 20				
39	4565	Triticum aestivum	AAR98780.2	high-molecular-weight glutenin subunit 1Dx2.1	IUIS	622	Tri a 26				
40	4565	Triticum aestivum	AAT01617.1	omega gliadin	IUIS	620	Tri a 19				
41	4565	Triticum aestivum	ABB17935.1	gamma-gliadin/LMW-glutenin chimera Ch1 precursor	IUIS	796	Tri a 20				
42	4565	Triticum aestivum	ABG54322.1	low molecular weight glutenin subunit	IUIS	728	Tri a 36				
43	4565	Triticum aestivum	ABG68042.1	X-type HMW glutenin	IUIS	622	Tri a 26				
44	4565	Triticum aestivum	ABQ52118.1	alpha-gliadin	IUIS	715	Tri a 21				
45	4565	Triticum aestivum	ABQ52123.1	alpha-gliadin	IUIS	715	Tri a 21				
46	4565	Triticum aestivum	ABS72145.1	alpha gliadin	IUIS	715	Tri a 21				
47	4565	Triticum aestivum	ABX89298.1	high molecular weight glutenin subunit	IUIS	622	Tri a 26				
48	4565	Triticum aestivum	ABY58133.1	LMW-s glutenin subunit 0359D24-S	IUIS	728	Tri a 36				
49	4565	Triticum aestivum	ABY58134.1	LMW-m glutenin subunit 0703A9-M	IUIS	728	Tri a 36				
50	4565	Triticum aestivum	ACA63851.1	low molecular weight glutenin subunit	IUIS	728	Tri a 36				
51	4565	Triticum aestivum	ACA63863.1	low molecular weight glutenin subunit	IUIS	728	Tri a 36				
52	4565	Triticum aestivum	ACD62597.1	alpha-gliadin	IUIS	715	Tri a 21				
53	4565	Triticum aestivum	ACI04087.1	gamma-gliadin	IUIS	796	Tri a 20				
54	4565	Triticum aestivum	ACN62213.1	omega-gliadin	IUIS	620	Tri a 19				
55	4565	Triticum aestivum	ACQ83636.1	omega secalin	IUIS	620	Tri a 19				
56	4565	Triticum aestivum	ADP95517.1	75k gamma secalin	IUIS	796	Tri a 20				
57	4565	Triticum aestivum	AFC98436.1	gamma-gliadin	IUIS	796	Tri a 20				
58	4565	Triticum aestivum	AFQ13468.1	alpha-gliadin	IUIS	715	Tri a 21				
59	4565	Triticum aestivum	AGK83251.1	low-molecular-weight glutenin subunit	IUIS	728	Tri a 36				
60	4565	Triticum aestivum	AGK83306.1	low-molecular-weight glutenin subunit	IUIS	728	Tri a 36				
61	4565	Triticum aestivum	BAA12318.1	alpha-gliadin	IUIS	715	Tri a 21				
62	4565	Triticum aestivum	BAA22613.2	LMM glutenin 1	IUIS	728	Tri a 36				
63	4565	Triticum aestivum	BAB78750.1	low-molecular-weight glutenin subunit group 4 type II	IUIS	728	Tri a 36				
64	4565	Triticum aestivum	BAE20328.1	omega-5 gliadin	IUIS	620	Tri a 19				
65	4565	Triticum aestivum	BAE45625.1	low-molecular-weight glutenin subunit	IUIS	728	Tri a 36				
66	4565	Triticum aestivum	BAN29066.1	gamma-gliadin	IUIS	796	Tri a 20				
67	4565	Triticum aestivum	BAN29068.1	high molecular weight glutenin subunit	IUIS	622	Tri a 26				
68	4565	Triticum aestivum	CAB76959.1	alpha-gliadin	IUIS	715	Tri a 21				
69	4565	Triticum aestivum	CAB76960.1	alpha-gliadin	IUIS	715	Tri a 21				
70	4565	Triticum aestivum	CAB76961.1	alpha-gliadin	IUIS	715	Tri a 21				
71	4565	Triticum aestivum	CAB76962.1	alpha-gliadin	IUIS	715	Tri a 21				
72	4565	Triticum aestivum	CAB76963.1	alpha-gliadin	IUIS	715	Tri a 21				
73	4565	Triticum aestivum	CAB76964.1	alpha-gliadin	IUIS	715	Tri a 21				
74	4565	Triticum aestivum	CAC84119.1	glutenin high molecular weight subunit	IUIS	622	Tri a 26				
75	4565	Triticum aestivum	CAD58622.1	low molecular weight glutenin subunit	IUIS	728	Tri a 36				
76	4565	Triticum aestivum	CAI78903.2	putative omega-gliadin	IUIS	620	Tri a 19				
77	4565	Triticum aestivum	CAR82265.1	D-type LMW glutenin subunit	IUIS	796	Tri a 20				
78	4565	Triticum aestivum	CAR82266.1	D-type LMW glutenin subunit	IUIS	796	Tri a 20				
79	4565	Triticum aestivum	CAR82267.1	D-type LMW glutenin subunit	IUIS	796	Tri a 20				
80	4565	Triticum aestivum	P02863.2	Alpha/beta-gliadin precursor	IUIS	715	Tri a 21				
81	4565	Triticum aestivum	P04721.1	Alpha/beta-gliadin A-I precursor	IUIS	715	Tri a 21				
82	4565	Triticum aestivum	P04722.1	Alpha/beta-gliadin A-II precursor	IUIS	715	Tri a 21				
83	4565	Triticum aestivum	P04723.1	Alpha/beta-gliadin A-III precursor	IUIS	715	Tri a 21				
84	4565	Triticum aestivum	P04724.1	Alpha/beta-gliadin A-IV precursor	IUIS	715	Tri a 21				
85	4565	Triticum aestivum	P04725.1	Alpha/beta-gliadin A-V	IUIS	715	Tri a 21				
86	4565	Triticum aestivum	P04726	Alpha/beta-gliadin clone PW1215	IUIS	715	Tri a 21				
87	4565	Triticum aestivum	P04727.1	Alpha/beta-gliadin clone PW8142 precursor	IUIS	715	Tri a 21				
88	4565	Triticum aestivum	P10385.1	Glutenin, low molecular weight subunit precursor	IUIS	728	Tri a 36				
89	4565	Triticum aestivum	P10388.4	Glutenin, high molecular weight subunit DX5 precursor	IUIS	622	Tri a 26				
90	4565	Triticum aestivum	P18573.1	Alpha/beta-gliadin MM1 precursor	IUIS	715	Tri a 21				
91	4565	Triticum aestivum	Q402I5	Omega-5 gliadin	IUIS	620	Tri a 19				
92	4565	Triticum aestivum	Q41545	(T. aestivum) alpha-type gliadin precursor	IUIS	715	Tri a 21				
93	4565	Triticum aestivum	Q8L6B2	Gamma gliadin	IUIS	796	Tri a 20				
94	4565	Triticum aestivum	Q9FUW7	Omega gliadin storage protein	IUIS	620	Tri a 19				
95	4565	Triticum aestivum	Q9M4L6	Alpha-gliadin	IUIS	715	Tri a 21				
96	4565	Triticum aestivum	Q9M4M5	Alpha-gliadin	IUIS	715	Tri a 21				
97	4565	Triticum aestivum	Q9ZNY0	Low molecular weight glutenin subunit precursor	IUIS	728	Tri a 36				
98	4565	Triticum aestivum	SRC262387	omega-5 gliadin	IUIS	620	Tri a 19				
99	4565	Triticum aestivum	SRC264156	alpha/beta gliadin precursor	IUIS	715	Tri a 21				
100	4565	Triticum aestivum	SRC268307	Gamma-gliadin	IUIS	796	Tri a 20				
101	4565	Triticum aestivum	SRC276224	Glutenin, high molecular weight subunit DX5	IUIS	622	Tri a 26				
102	5077	Penicillium citrinum	AAD25926.1	Pen c 1	UniProt	Q9Y749	Pen c 13		IUIS 477 - UniProt entry is obsolete		
103	5599	Alternaria alternata	AAB48043.1	hsp70	IUIS	25	Alt a 3				
104	5599	Alternaria alternata	AAR98813.1	glutathione-S-transferase	IUIS	24	Alt a 13				
105	5599	Alternaria alternata	P49148.1	60S acidic ribosomal protein P1	IUIS	23	Alt a 12				
106	5599	Alternaria alternata	Q6R4B4.1	Glutathione-S-transferase	IUIS	24	Alt a 13				
107	5599	Alternaria alternata	SRC269001	Major allergen Alt a 1	IUIS	21	Alt a 1				
108	6689	Penaeus vannamei	ACB38288.1	Lit v 1 tropomyosin	IUIS	411	Lit v 1				
109	6954	Dermatophagoides farinae	AAP35081.1	Der f Alt a 10 allergen	IUIS	275	Der f 10				
110	6954	Dermatophagoides farinae	BAA04557.1	Mag44, partial	IUIS	275	Der f 10				
111	6954	Dermatophagoides farinae	P39673.1	Allergen Mag	IUIS	275	Der f 10				
112	6954	Dermatophagoides farinae	SRC338478	Mag44	IUIS	275	Der f 10				
113	6954	Dermatophagoides farinae	SRC343989	Der f 3 allergen	IUIS	285	Der f 3				
114	6954	Dermatophagoides farinae	SRC343990	Der f Alt a 10 allergen	IUIS	275	Der f 10				
115	6954	Dermatophagoides farinae	SRC343991	Der f 16 allergen	IUIS	280	Der f 16				
116	6954	Dermatophagoides farinae	SRC343992	ferritin	IUIS	814	Der f 30				
117	6956	Dermatophagoides pteronyssinus	3H4Z_A	Chain A, Crystal Structure Of An Mbp-Der P 7 Fusion Protein	IUIS	301	Der p 7				
118	6956	Dermatophagoides pteronyssinus	SRC261403	Mite group 6 allergen Der p 6	IUIS	300	Der p 6				
119	6956	Dermatophagoides pteronyssinus	SRC269004	Der P 1	IUIS	289	Der p 1				
120	6956	Dermatophagoides pteronyssinus	SRC269005	Mite group 2 allergen Der p 2	IUIS	293	Der p 2				
121	6956	Dermatophagoides pteronyssinus	SRC343987	group 14 allergen protein	IUIS	292	Der p 14				
122	6956	Dermatophagoides pteronyssinus	SRC343988	glutathione transferase mu	IUIS	302	Der p 8				
123	6956	Dermatophagoides pteronyssinus	SRC343993	Der p 13 allergen	IUIS	868	Der p 13				
124	6956	Dermatophagoides pteronyssinus	SRC343997	Der p 5	IUIS	299	Der p 5				
125	6956	Dermatophagoides pteronyssinus	SRC522220	Der p23 allergen	IUIS	296	Der p 23				
126	6973	Blattella germanica	SRC323160	Bla g 11	IUIS	779	Bla g 11				
127	6978	Periplaneta americana	CAB38086.1	tropomyosin	IUIS	497	Per a 7				
128	8049	Gadus morhua	CAM56786.1	parvalbumin beta	IUIS	708	Gad m 1				
129	8049	Gadus morhua	Q90YK9.3	Parvalbumin beta	IUIS	708	Gad m 1				
130	8053	Gadus morhua callarias	P02622.1	Parvalbumin beta	IUIS	708	Gad m 1				
131	9031	Gallus gallus	SRC279992	Ovalbumin	IUIS	336	Gal d 2				
132	9031	Gallus gallus	SRC280240	Lysozyme C	IUIS	338	Gal d 4				
133	9685	Felis catus	1PUO_A	Chain A, Crystal Structure Of Fel D 1- The Major Cat Allergen	IUIS	319	Fel d 1				
134	9685	Felis catus	2EJN_A	Chain A, Structural Characterization Of The Tetrameric Form Of The Major Cat Allergen Fel D 1	IUIS	319	Fel d 1				
135	9685	Felis catus	SRC269010	Major allergen I polypeptide chain 1	IUIS	319	Fel d 1				
136	9685	Felis catus	SRC282810	Major allergen I polypeptide chain 2	IUIS	319	Fel d 1				
137	9685	Felis catus	CAD32275.1		IUIS	320	Fel d 2				
138	9913	Bos taurus	CAC37028.1	beta casein B	IUIS	758	Bos d 11				
139	9913	Bos taurus	SRC280081	Alpha-S1-casein	IUIS	756	Bos d 9				
140	9913	Bos taurus	SRC293738	beta-casein	IUIS	758	Bos d 11				
141	9913	Bos taurus	SRC293739	kappa-casein	IUIS	759	Bos d 12				
142	9913	Bos taurus	SRC309991	beta-lactoglobulin	IUIS	163	Bos d 5				
143	13187	Parietaria officinalis	SRC243675	Par j	IUIS	472	Par o 1				
144	13415	Chamaecyparis obtusa	SRC265920	Major pollen allergen Cha o 1	IUIS	193	Cha o 1				
145	13415	Chamaecyparis obtusa	SRC337169	major pollen allergen Cha o 2	IUIS	194	Cha o 2				
146	13451	Corylus avellana	SRC265918	Major pollen allergen Cor a 1 isoforms 5, 6, 11 and 16	IUIS	228	Cor a 1				
147	15957	Phleum pratense	Q7M1L8	Pollen allergen Phl p V	IUIS	509	Phl p 5				
148	28909	Cynodon dactylon	SRC268305	Major pollen allergen Cyn d 1	IUIS	259	Cyn d 1				
149	29159	Crassostrea gigas	SRC471007	tropomyosin	IUIS	902	Cra g 1				
150	29661	Anthoxanthum odoratum	SRC269025	Group I allergen Ant o I	IUIS	57	Ant o 1				
151	29715	Ambrosia psilostachya	SRC310169	Amb p 5	IUIS	41	Amb p 5				
152	29960	Penaeus indicus	SRC283302	tropomyosin	IUIS	489	Pen i 1				
153	33127	Parietaria judaica	SRC268314	Probable non-specific lipid-transfer protein	IUIS	468	Par j 1				
154	49011	Hesperocyparis arizonica	SRC247024	putative allergen Cup a 1 glycoprotein	IUIS	253	Cup a 1				
155	51240	Juglans regia	AAF18269.1	vicilin-like protein precursor	IUIS	389	Jug r 2				
156	55513	Pistacia vera	SRC337446	Pis v 5	IUIS	519	Pis v 5				
157	62330	Fagopyrum tataricum	AAK97787.1	allergenic protein	IUIS	724	Fag t 2				
158	62330	Fagopyrum tataricum	ABI32184.1	allergenic protein	IUIS	724	Fag t 2				
159	155091	Secale cereale subsp. afghanicum	AEW46799.1	gamma prolamin	IUIS	584	Sec c 20				
160	171929	Anacardium occidentale	SRC268311	Vicilin-like protein	IUIS	45	Ana o 1				
161	746128	Aspergillus fumigatus	AAC61261.1	allergen	UniProt	Q8J0P4	Asp f 16		Name in tree will not be correct - IUIS is out of date, Uniprot has this as Asp f 9		crf1
162	746128	Aspergillus fumigatus	SRC280124	Ribonuclease mitogillin	IUIS	97	Asp f 1				
163	139	Borreliella burgdorferi	ABK60035.1	VlsE	UniProt	G5IXI6	Variable large protein				BB_F0041
164	139	Borreliella burgdorferi	SRC265945	Outer surface protein A	UniProt	P0CL66	Outer surface protein A				ospA
165	139	Borreliella burgdorferi	SRC265946	Outer surface protein C	UniProt	Q07337	Outer surface protein C				ospC
166	139	Borreliella burgdorferi	SRC269139	Outer surface protein VlsE1	UniProt	G5IXI6	Variable large protein				BB_F0041
167	160	Treponema pallidum	SRC280369	Tpr protein K	UniProt	O83867	Tpr protein K (TprK)				TP_0897
168	487	Neisseria meningitidis	SRC268999	Major outer membrane protein P.IA	UniProt	P0DH58	Major outer membrane protein P.IA				porA
169	584	Proteus mirabilis	SRC280389	Hemolysin activator protein (Two-partner secretion system accessory protein)	UniProt	B4F0Z8					hpmB
170	727	Haemophilus influenzae	SRC265947	Outer membrane protein P6	UniProt	P10324	Peptidoglycan-associated lipoprotein				pal
171	727	Haemophilus influenzae	SRC265948	Lipopolysaccharide cholinephosphotransferase LicD	UniProt	P14184	Lipopolysaccharide cholinephosphotransferase LicD				licD
172	727	Haemophilus influenzae	SRC279938	Outer membrane protein P2	UniProt	P43839	Outer membrane protein P2				ompP2
173	770	Anaplasma marginale	SRC280374	Major surface protein 2 (MSP2)	UniProt	B9KGZ2	Major surface protein 2 (MSP2)				msp2
174	813	Chlamydia trachomatis	C30593	outer membrane protein	UniProt	Q46409	Major outer membrane porin, serovar D				ompA
175	813	Chlamydia trachomatis	E30593	outer membrane protein - Chlamydia trachomatis (serotype K) (fragments)	UniProt	Q46409	Major outer membrane porin, serovar D				ompA
176	813	Chlamydia trachomatis	SRC265954	RNA polymerase sigma factor SigA	UniProt	P18333	RNA polymerase sigma factor SigA				sigA
177	813	Chlamydia trachomatis	SRC279968	Major outer membrane porin, serovar D	UniProt	Q46409	Major outer membrane porin, serovar D				ompA
178	813	Chlamydia trachomatis	SRC280056	60 kDa chaperonin	UniProt	P0C0Z7	60 kDa chaperonin				groEL
179	813	Chlamydia trachomatis	SRC280224	Sulfur-rich protein, serovar D	UniProt	O84449	Sulfur-rich protein, serovar D				srp
180	1314	Streptococcus pyogenes	AAA21783.1	M-like protein	UniProt	Q99XV0	M protein type 1				emm1
181	1314	Streptococcus pyogenes	AAA21786.1	M-like protein	UniProt	Q99XV0	M protein type 1				emm1
182	1314	Streptococcus pyogenes	AAA21787.1	M-like protein	UniProt	Q99XV0	M protein type 1				emm1
183	1314	Streptococcus pyogenes	AAA99601.1	emml gene product	UniProt	Q99XV0	M protein type 1				emm1
184	1314	Streptococcus pyogenes	AAR89483.1	M protein	UniProt	Q99XV0	M protein type 1				emm1
185	1314	Streptococcus pyogenes	CAE51959.2	M protein	UniProt	Q99XV0	M protein type 1				emm1
186	1314	Streptococcus pyogenes	SRC280368	M protein, serotype 5	UniProt	Q99XV0	M protein type 1				emm1
187	1392	Bacillus anthracis	SRC280246	Stage V sporulation protein R	UniProt	A0A6L7HN52	Stage V sporulation protein R				spoVR
188	1491	Clostridium botulinum	SRC269138	Botulinum neurotoxin type E, nontoxic-nonhemagglutinin component, NTNH	UniProt	A5HZZ8	Type A progenitor toxin nontoxic-nonha				ntnH
189	1765	Mycobacterium tuberculosis variant bovis	SRC280003	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	UniProt	P9WQP3	Diacylglycerol acyltransferase/mycolyltransferase Ag85A				fbpA
190	1765	Mycobacterium tuberculosis variant bovis	SRC280048	60 kDa chaperonin 2	UniProt	P9WPE7	60 kDa chaperonin 2				groEL2
191	1765	Mycobacterium tuberculosis variant bovis	SRC280133	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	UniProt	P9WQP1	Diacylglycerol acyltransferase/mycolyltransferase Ag85B				fbpB
192	1765	Mycobacterium tuberculosis variant bovis	SRC280272	Lipoprotein LpqH	UniProt	P9WK61	Lipoprotein LpqH				lpqH
193	1773	Mycobacterium tuberculosis	SRC265955	Lipoprotein LpqH	UniProt	P9WK61	Lipoprotein LpqH				lpqH
194	1773	Mycobacterium tuberculosis	SRC280000	Diacylglycerol acyltransferase/mycolyltransferase Ag85B	UniProt	P9WQP1	Diacylglycerol acyltransferase/mycolyltransferase Ag85B				fbpB
195	1773	Mycobacterium tuberculosis	SRC280030	Uncharacterized PPE family protein PPE19	UniProt	P9WI25	Uncharacterized PPE family protein PPE19				PPE19
196	1773	Mycobacterium tuberculosis	SRC280101	Diacylglycerol acyltransferase/mycolyltransferase Ag85A	UniProt	P9WQP3	Diacylglycerol acyltransferase/mycolyltransferase Ag85A				fbpA
197	1773	Mycobacterium tuberculosis	SRC280115	60 kDa chaperonin 2	UniProt	P9WPE7	60 kDa chaperonin 2				groEL2
198	1773	Mycobacterium tuberculosis	SRC280164	10 kDa chaperonin	UniProt	P9WPE5	10 kDa chaperonin				groES
199	1773	Mycobacterium tuberculosis	SRC280192	Hypothetical protein	UniProt	I6YGJ4	Possible conserved lipoprotein LppH				lppH
200	1773	Mycobacterium tuberculosis	SRC280197	Phosphate transport system permease protein PstA 1	UniProt	P9WG11	Phosphate transport system permease protein PstA 1				pstA1
201	1773	Mycobacterium tuberculosis	SRC280238	Elongation factor Tu	UniProt	P9WNN1	Elongation factor Tu				tuf
202	1773	Mycobacterium tuberculosis	SRC280247	MPT51/MPB51 antigen	UniProt	P9WQN7	MPT51/MPB51 antigen				mpt51
203	1773	Mycobacterium tuberculosis	SRC280287	Long-chain-fatty-acid--AMP ligase FadD32	UniProt	O53580	Long-chain-fatty-acid--AMP ligase FadD32				fadD32
204	1773	Mycobacterium tuberculosis	SRC280375	Possible transmembrane cation transporter	UniProt	O53346	Possible transmembrane cation transporter				Rv3200c
205	1773	Mycobacterium tuberculosis	SRC280382	Probable ATP-dependent helicase Lhr (Large helicase-related protein)	UniProt	P96901	Probable ATP-dependent helicase Lhr (Large helicase-related protein)				lhr
206	1773	Mycobacterium tuberculosis	SRC280383	Probable lipoprotein aminopeptidase LpqL	UniProt	P96264	Probable lipoprotein aminopeptidase LpqL				lpqL
207	5664	Leishmania major	SRC265956	Leishmanolysin	UniProt	Q4QHH2	Leishmanolysin				GP63-1
208	5664	Leishmania major	SRC269018	GP63, leishmanolysin	UniProt	Q4QHH2	Leishmanolysin				GP63-1
209	5665	Leishmania mexicana	SRC269145	GP63, leishmanolysin	UniProt	E9AN57	Leishmanolysin				LMXM_10_0470
210	5811	Toxoplasma gondii	SRC265957	Dense granule protein 1	UniProt	B9Q5Z2	Dense granule protein 1 / major antigenp24				BN1205_017550
211	5811	Toxoplasma gondii	SRC269146	Surface antigen P22, putative	UniProt	A0A0F7V1Z5	SAG-related sequence SRS34A				BN1205_018330
212	5833	Plasmodium falciparum	AAN28299.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
213	5833	Plasmodium falciparum	AAS37677.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
214	5833	Plasmodium falciparum	AAS48088.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
215	5833	Plasmodium falciparum	AAT01063.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
216	5833	Plasmodium falciparum	AAT01064.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
217	5833	Plasmodium falciparum	AAY53888.1	merozoite surface protein 2	UniProt	P50498	Merozoite surface antigen 2				MSP2
218	5833	Plasmodium falciparum	ABF55313.1	merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1				PF3D7_0930300
219	5833	Plasmodium falciparum	ABF55315.1	merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1				PF3D7_0930300
220	5833	Plasmodium falciparum	SRC265916	S-antigen protein	UniProt	Q03400	S-antigen protein				PF10_0343
221	5833	Plasmodium falciparum	SRC265919	101 kDa malaria antigen	UniProt	Q8I5D2	101 kDa malaria antigen				MSP9
222	5833	Plasmodium falciparum	SRC265921	Serine-repeat antigen protein	UniProt	Q9TY95	Serine-repeat antigen protein				SERA5
223	5833	Plasmodium falciparum	SRC279972	Merozoite surface protein 1	UniProt	Q8I0U8	Merozoite surface protein 1				PF3D7_0930300
224	5833	Plasmodium falciparum	SRC280011	Circumsporozoite	UniProt	Q7K740	Circumsporozoite (CS) protein				CSP
225	5833	Plasmodium falciparum	SRC280055	Knob associated histidine-rich protein	UniProt	Q9TY99	Knob-associated histidine-rich protein				PF3D7_0202000
226	5833	Plasmodium falciparum	SRC280072	Rhoptry-associated protein 1	UniProt	Q8ILZ1	Rhoptry-associated protein 1				PF3D7_1410400
227	5833	Plasmodium falciparum	SRC280086	Circumsporozoite-related antigen	UniProt	Q8IIF0	Exported protein 1				PF3D7_1121600
228	5833	Plasmodium falciparum	SRC280094	Sporozoite surface protein 2	UniProt	Q76NM2	Thrombospondin-related anonymous protein				PF3D7_1335900
229	5833	Plasmodium falciparum	SRC280108	Erythrocyte binding antigen	UniProt	Q8IBE8	Erythrocyte binding antigen-175				PF3D7_0731500
230	5833	Plasmodium falciparum	SRC280126	Glycophorin-binding protein	UniProt	Q8I6U8	Glycophorin-binding protein				GBP130
231	5833	Plasmodium falciparum	SRC280142	Erythrocyte membrane protein 1	UniProt	Q8I639	Erythrocyte membrane protein 1, PfEMP1				PF3D7_1200600
232	5833	Plasmodium falciparum	SRC280150	Apical membrane antigen 1	UniProt	Q7KQK5	Apical membrane antigen 1				PF3D7_1133400
233	5833	Plasmodium falciparum	SRC280156	Uncharacterized protein MAL13P1.304	UniProt	Q8ID94	Uncharacterized protein MAL13P1.304				MAL13P1.304
234	5833	Plasmodium falciparum	SRC280177	Starp antigen	UniProt	Q8IC44	Sporozoite threonine and asparagine-rich protein				PF3D7_0702300
235	5833	Plasmodium falciparum	SRC280199	Interspersed repeat antigen, putative	UniProt	Q8I486	Interspersed repeat antigen				PF3D7_0501400
236	5833	Plasmodium falciparum	SRC280378	Histidine rich protein II	UniProt	A0A143ZVM5	Histidine-rich protein II				PF3D7_0831800
237	5877	Theileria sergenti	SRC269021	Ts-32K protein precursor	UniProt	Q27401	Major piroplasm surface protein				
238	6207	Taenia crassiceps	SRC269007	Protective recombinant antigen	UniProt	Q26874	Protective recombinant antigen (Fragment)				KETC7
239	7787	Tetronarce californica	SRC269009	Acetylcholine receptor subunit alpha	UniProt	P02710					CHRNA1
240	9031	Gallus gallus	SRC265961	Collagen alpha-1(II) chain	UniProt	P02460					COL2A1
241	9031	Gallus gallus	SRC279941	Collagen alpha-3(IX) chain	UniProt	P32017					COL9A3
242	9606	Homo sapiens	SRC20	Thyroglobulin precursor	UniProt	P01266	Thyroglobulin				TG
243	9606	Homo sapiens	SRC244406	islet-specific glucose-6-phosphatase-related protein	UniProt	Q9NQR9	Glucose-6-phosphatase 2				G6PC2
244	9606	Homo sapiens	SRC244760	advanced glycosylation end product-specific receptor	UniProt	Q15109	Advanced glycosylation end product-specific receptor				AGER
245	9606	Homo sapiens	SRC245209	Follistatin-related protein 1	UniProt	Q12841	Follistatin-related protein 1				FSTL1
246	9606	Homo sapiens	SRC245374	vimentin	UniProt	P08670	Vimentin				VIM
